anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,299,2023-01-19,33980
2023,589,2023-01-31,1945.5
2023,587,2023-01-31,114594.88
2023,582,2023-01-31,40347.3
2023,298,2023-01-19,3000
2023,209,2023-01-16,38753.62
2023,215,2023-01-16,16336
2023,211,2023-01-16,59639
2023,212,2023-01-16,78843.9
2023,218,2023-01-16,103138.4
2023,220,2023-01-16,3358
2023,224,2023-01-16,15144
2023,584,2023-01-31,3326.4
2023,217,2023-01-16,45010
2023,222,2023-01-16,390
2023,596,2023-01-31,23019.5
2023,568,2023-01-31,105336
2023,216,2023-01-16,21883.5
2023,591,2023-01-31,36834.6
2023,595,2023-01-31,22062
2023,594,2023-01-31,3336
2023,207,2023-01-16,8794.82
2023,585,2023-01-31,9840
2023,593,2023-01-31,15041
2023,229,2023-01-16,49200
2023,575,2023-01-31,161248.9
2023,588,2023-01-31,21520
2023,590,2023-01-31,300
2023,581,2023-01-31,105000
2023,578,2023-01-31,46102.83
2023,223,2023-01-16,1143.2
2023,206,2023-01-16,21173.1
2023,586,2023-01-31,72300.1
2023,583,2023-01-31,33250
2023,214,2023-01-16,20158.7
2023,225,2023-01-16,9592
2023,219,2023-01-16,26520
2023,295,2023-01-19,10500
2023,592,2023-01-31,25554
2023,221,2023-01-16,86182.8
2023,227,2023-01-16,14250
2023,226,2023-01-16,1359.8
2023,213,2023-01-16,9990
2023,580,2023-01-31,38751.1
2023,208,2023-01-16,2661.38
2023,577,2023-01-31,39013.17
2023,210,2023-01-16,21280
2023,579,2023-01-31,2328.9
2023,1159,2023-03-09,252000
2023,2797,2023-07-13,1579.98
2023,2790,2023-07-13,55801.1
2023,2775,2023-07-13,39050
2023,2793,2023-07-13,13063
2023,2771,2023-07-13,13509.55
2023,2801,2023-07-13,15927
2023,2791,2023-07-13,9330
2023,2789,2023-07-13,26970
2023,2796,2023-07-13,5094
2023,2798,2023-07-13,5692
2023,2781,2023-07-13,64322.9
2023,2787,2023-07-13,8515.14
2023,2772,2023-07-13,61067.78
2023,2794,2023-07-13,123789.1
2023,2778,2023-07-13,9473.9
2023,2776,2023-07-13,3234.95
2023,2779,2023-07-13,2400
2023,2784,2023-07-13,6443.32
2023,2782,2023-07-13,68166
2023,2903,2023-07-26,7223.36
2023,2777,2023-07-13,3109
2023,2780,2023-07-13,7499.8
2023,2774,2023-07-13,29198.22
2023,2799,2023-07-13,14730
2023,2788,2023-07-13,2310
2023,2800,2023-07-13,12470.2
2023,2795,2023-07-13,3000
2023,2773,2023-07-13,47292.22
2023,2805,2023-07-13,37393.9
2023,3182,2023-08-16,12000
2023,3188,2023-08-16,2500
2023,3199,2023-08-16,10457
2023,3183,2023-08-16,126480.42
2023,3184,2023-08-16,45234
2023,3200,2023-08-16,17247.5
2023,3181,2023-08-16,10299.2
2023,3193,2023-08-16,48545.5
2023,3192,2023-08-16,5603.4
2023,3189,2023-08-16,51534.36
2023,3197,2023-08-16,1299
2023,3191,2023-08-16,5185
2023,3180,2023-08-16,8890
2023,3185,2023-08-16,69687.67
2023,3194,2023-08-16,17298.5
2023,3195,2023-08-16,41928
2023,3206,2023-08-16,1630
2023,3198,2023-08-16,98970
2023,3186,2023-08-16,15647.93
2023,3196,2023-08-16,12800
2023,3187,2023-08-16,3600.67
2023,3190,2023-08-16,11713.4
2023,3605,2023-09-20,4245
2023,3613,2023-09-20,3996
2023,3611,2023-09-20,8801.94
2023,3603,2023-09-20,130589.6
2023,3607,2023-09-20,7491.7
2023,3612,2023-09-20,104180
2023,3615,2023-09-20,6801.6
2023,3601,2023-09-20,33400
2023,3616,2023-09-20,2651.2
2023,3597,2023-09-20,59446.63
2023,3602,2023-09-20,974.5
2023,3600,2023-09-20,2598
2023,3606,2023-09-20,7143
2023,3609,2023-09-20,2090
2023,3599,2023-09-20,22220
2023,3614,2023-09-20,122566.82
2023,3610,2023-09-20,12000
2023,3604,2023-09-20,82266
2023,3608,2023-09-20,82072.74
2023,3598,2023-09-20,43998.1
2023,4126,2023-10-26,105782
2023,4112,2023-10-26,2160
2023,4110,2023-10-26,117032
2023,4115,2023-10-26,95303.2
2023,4124,2023-10-26,7080
2023,4121,2023-10-26,3173
2023,4128,2023-10-26,287.97
2023,4122,2023-10-26,17000
2023,4107,2023-10-26,6231
2023,4106,2023-10-26,7205
2023,4114,2023-10-26,770
2023,4119,2023-10-26,94704
2023,4108,2023-10-26,213127.84
2023,4118,2023-10-26,9339
2023,4109,2023-10-26,31751
2023,4127,2023-10-26,236.2
2023,4120,2023-10-26,128885.4
2023,4123,2023-10-26,17493
2023,4116,2023-10-26,5302
2023,4117,2023-10-26,10375
2023,4105,2023-10-26,178
2023,4113,2023-10-26,4180
2023,4111,2023-10-26,15050.8
2023,4125,2023-10-26,11480
2023,4682,2023-11-30,4020
2023,4683,2023-11-30,7096.8
2023,4680,2023-11-30,1110
2023,4681,2023-11-30,23072
