anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,81,2025-01-02,104950
2025,165,2025-01-02,300000
2025,252,2025-01-02,38173.47
2025,238,2025-01-02,86594.4
2025,850,2025-01-28,469237.78
2025,205,2025-01-02,315697.15
2025,272,2025-01-02,533500
2025,160,2025-01-02,85000
2025,115,2025-01-02,14148
2025,317,2025-01-02,240000
2025,219,2025-01-02,54245.64
2025,287,2025-01-02,500609.75
2025,113,2025-01-02,134027.26
2025,280,2025-01-02,1404898.77
2025,128,2025-01-02,12282
2025,126,2025-01-02,5042.88
2025,132,2025-01-02,14855.4
2025,116,2025-01-02,4053.32
2025,607,2025-01-14,36841.6
2025,769,2025-01-21,12680
2025,206,2025-01-02,20341
2025,295,2025-01-02,1313521
2025,304,2025-01-02,4200
2025,212,2025-01-02,80590
2025,117,2025-01-02,8818
2025,263,2025-01-02,18270
2025,129,2025-01-02,7211.64
2025,659,2025-01-15,50020
2025,770,2025-01-21,19808
2025,201,2025-01-02,3498927.68
2025,173,2025-01-02,30000
2025,114,2025-01-02,349.5
2025,112,2025-01-02,12232.8
2025,90,2025-01-02,14717.2
2025,120,2025-01-02,10796.26
2025,768,2025-01-21,128611.91
2025,122,2025-01-02,886
2025,318,2025-01-02,10000
2025,125,2025-01-02,1685.4
2025,124,2025-01-02,147
2025,273,2025-01-02,21707.29
2025,657,2025-01-14,104128.24
2025,92,2025-01-02,142921.71
2025,121,2025-01-02,4123.25
2025,118,2025-01-02,6905.8
2025,88,2025-01-02,111781.49
2025,180,2025-01-02,950000
2025,119,2025-01-02,6009.85
2025,674,2025-01-16,20000
2025,131,2025-01-02,6839
2025,97,2025-01-02,260463.1
2025,308,2025-01-02,749999.99
2025,127,2025-01-02,45962.5
2025,95,2025-01-02,242500
2025,135,2025-01-02,1370000
2025,424,2025-01-02,15087.94
2025,217,2025-01-02,10000
2025,221,2025-01-02,711749.73
2025,485,2025-01-03,83557.5
2025,123,2025-01-02,2000
2025,86,2025-01-02,1983897.44
2025,130,2025-01-02,90000
2025,535,2025-01-13,3228.25
2025,484,2025-01-03,113882.2
2025,818,2025-01-27,645662.76
2025,1589,2025-02-25,428
2025,1153,2025-02-03,78589.78
2025,1347,2025-02-13,7779.8
2025,1231,2025-02-07,575620.61
2025,1590,2025-02-25,2105.52
2025,1333,2025-02-13,14185.4
2025,1586,2025-02-25,2118
2025,1564,2025-02-24,14717.2
2025,1585,2025-02-25,9673.3
2025,1582,2025-02-24,649.41
2025,1335,2025-02-13,108818.78
2025,1648,2025-02-27,52475
2025,1334,2025-02-13,349.5
2025,1649,2025-02-27,52475
2025,1268,2025-02-10,66672.49
2025,1591,2025-02-25,36218.32
2025,1332,2025-02-13,3988
2025,1563,2025-02-24,3228.25
2025,1331,2025-02-13,5812.92
2025,1565,2025-02-24,12282
2025,1587,2025-02-25,340
2025,1588,2025-02-25,4772
2025,1493,2025-02-20,47442.26
2025,1979,2025-03-06,171193.99
2025,2539,2025-03-31,1860
2025,1987,2025-03-06,41009
2025,2534,2025-03-31,807638.84
2025,2032,2025-03-07,26745.18
2025,2541,2025-03-31,7325
2025,2542,2025-03-31,10301.9
2025,2538,2025-03-31,6891.25
2025,2073,2025-03-11,34758.75
2025,2295,2025-03-26,13975.4
2025,2304,2025-03-26,12650
2025,2300,2025-03-26,7678
2025,2010,2025-03-06,6613.5
2025,2006,2025-03-06,6054.84
2025,2531,2025-03-31,3371999
2025,2151,2025-03-14,103.03
2025,2296,2025-03-26,4225.2
2025,2535,2025-03-31,1726596
2025,2068,2025-03-11,17579.29
2025,1948,2025-03-05,84840
2025,2297,2025-03-26,91065.95
2025,2325,2025-03-28,125.4
2025,2299,2025-03-26,1327.92
2025,1982,2025-03-06,181068.35
2025,2533,2025-03-31,165066.12
2025,1976,2025-03-06,49147.61
2025,2005,2025-03-06,14400.4
2025,2069,2025-03-11,3382.5
2025,1981,2025-03-06,133233.35
2025,2298,2025-03-26,8795.3
2025,2131,2025-03-13,103.03
2025,2072,2025-03-11,107512.4
2025,2004,2025-03-06,8750.56
2025,2008,2025-03-06,699
2025,2303,2025-03-26,5032.99
2025,2537,2025-03-31,70408.25
2025,2130,2025-03-13,1450.92
2025,2007,2025-03-06,98034.06
2025,1978,2025-03-06,24050.5
2025,2540,2025-03-31,22111
2025,2536,2025-03-31,2170.8
2025,2132,2025-03-13,103.03
2025,2553,2025-04-01,390457.9
2025,2898,2025-04-23,24948
2025,2698,2025-04-10,1651.5
2025,2699,2025-04-10,85882.94
2025,2804,2025-04-16,2472
2025,2545,2025-04-01,637061.93
2025,2862,2025-04-17,93.2
2025,2737,2025-04-11,76502.44
2025,2701,2025-04-10,2537.34
2025,2715,2025-04-10,121010.9
2025,2702,2025-04-10,1452
2025,2859,2025-04-17,42298.88
2025,2622,2025-04-04,125.4
