anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,99,2026-01-02,1000000
2026,761,2026-01-20,6679
2026,188,2026-01-02,113739.11
2026,345,2026-01-02,3000
2026,117,2026-01-02,30000
2026,155,2026-01-02,60000
2026,98,2026-01-02,8205000
2026,41,2026-01-02,10000
2026,409,2026-01-02,62887.5
2026,458,2026-01-08,6485.49
2026,206,2026-01-02,2000
2026,344,2026-01-02,25650
2026,199,2026-01-02,31532.76
2026,244,2026-01-02,165791
2026,1288,2026-02-09,64894.31
2026,1284,2026-02-06,120
2026,1287,2026-02-06,120
2026,1286,2026-02-06,120
2026,1285,2026-02-06,120
2026,1732,2026-02-26,5408
2026,1605,2026-02-26,11895
2026,2228,2026-03-27,60
2026,2250,2026-03-27,60
2026,2253,2026-03-27,60
2026,2252,2026-03-27,60
2026,2234,2026-03-27,129
2026,2241,2026-03-27,60
2026,2249,2026-03-27,60
2026,2013,2026-03-18,108.39
2026,2223,2026-03-27,60
2026,2244,2026-03-27,60
2026,2229,2026-03-27,60
2026,2197,2026-03-27,60
2026,2205,2026-03-27,60
2026,2233,2026-03-27,60
2026,2195,2026-03-27,60
2026,2203,2026-03-27,60
2026,2202,2026-03-27,60
2026,2226,2026-03-27,60
2026,2218,2026-03-27,60
2026,2232,2026-03-27,60
2026,2237,2026-03-27,60
2026,2216,2026-03-27,60
2026,2238,2026-03-27,60
2026,2260,2026-03-27,60
2026,2245,2026-03-27,60
2026,2214,2026-03-27,60
2026,2258,2026-03-27,60
2026,1756,2026-03-03,4507.8
2026,2240,2026-03-27,60
2026,2254,2026-03-27,60
2026,2236,2026-03-27,60
2026,2217,2026-03-27,60
2026,1843,2026-03-05,775
2026,2215,2026-03-27,60
2026,2199,2026-03-27,60
2026,2200,2026-03-27,60
2026,2239,2026-03-27,60
2026,2201,2026-03-27,60
2026,2192,2026-03-27,60
2026,2220,2026-03-27,60
2026,2208,2026-03-27,60
2026,2225,2026-03-27,60
2026,2111,2026-03-24,120
2026,2243,2026-03-27,60
2026,2255,2026-03-27,60
2026,1745,2026-03-02,1400
2026,1900,2026-03-11,11020
2026,2204,2026-03-27,60
2026,2246,2026-03-27,60
2026,2211,2026-03-27,60
2026,2259,2026-03-27,60
2026,2222,2026-03-27,60
2026,2247,2026-03-27,60
2026,2265,2026-03-30,35569.2
2026,2213,2026-03-27,60
2026,2251,2026-03-27,60
2026,2191,2026-03-27,60
2026,2190,2026-03-27,60
2026,2193,2026-03-27,60
2026,1844,2026-03-05,775
2026,2248,2026-03-27,60
2026,2235,2026-03-27,60
2026,2206,2026-03-27,60
2026,2224,2026-03-27,60
2026,2227,2026-03-27,60
2026,2210,2026-03-27,60
2026,2221,2026-03-27,60
2026,2194,2026-03-27,60
2026,2207,2026-03-27,60
2026,2129,2026-03-25,120
2026,2257,2026-03-27,60
2026,2219,2026-03-27,60
2026,2230,2026-03-27,60
2026,2231,2026-03-27,60
2026,2256,2026-03-27,60
2026,2209,2026-03-27,60
2026,2212,2026-03-27,60
2026,2198,2026-03-27,60
2026,2242,2026-03-27,60
2026,2196,2026-03-27,60
2026,2718,2026-04-09,39960
2026,2635,2026-04-06,774
2026,2642,2026-04-07,120
2026,2765,2026-04-09,34099.5
2026,2515,2026-04-01,258
2026,2641,2026-04-07,120
2026,2770,2026-04-09,395672.38
2026,2522,2026-04-01,120
2026,2514,2026-04-01,120
2026,2839,2026-04-13,120
2026,2535,2026-04-01,3013.4
2026,2536,2026-04-01,6061.45
2026,2840,2026-04-13,120
2026,2872,2026-04-15,120
2026,2534,2026-04-01,185.7
2026,2636,2026-04-06,1032
2026,2643,2026-04-07,120
2026,2640,2026-04-07,120
