anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,355,2026-01-19,5199.74
2026,392,2026-01-19,1561.95
2026,443,2026-01-20,10000
2026,655,2026-01-28,939.99
2026,639,2026-01-28,3312.5
2026,300,2026-01-16,1871.76
2026,99,2026-01-05,63636.36
2026,27,2026-01-02,20000
2026,34,2026-01-02,20000
2026,870,2026-01-30,1284.24
2026,382,2026-01-19,7318.58
2026,336,2026-01-19,1165.69
2026,634,2026-01-28,889.6
2026,365,2026-01-19,9827.19
2026,449,2026-01-20,10000
2026,421,2026-01-19,3000
2026,402,2026-01-19,6767.24
2026,411,2026-01-19,3000
2026,366,2026-01-19,5000
2026,1015,2026-02-05,399.97
2026,1420,2026-02-24,42600
2026,1052,2026-02-05,225.5
2026,1103,2026-02-06,1198.75
2026,1363,2026-02-23,1314.56
2026,1354,2026-02-23,954.85
2026,1210,2026-02-12,818.04
2026,1042,2026-02-05,1124.03
2026,1337,2026-02-23,885.6
2026,1090,2026-02-06,551.25
2026,1168,2026-02-11,11176.87
2026,1968,2026-03-20,900.6
2026,1819,2026-03-13,3549
2026,1958,2026-03-20,240.6
2026,1976,2026-03-20,579.75
2026,1895,2026-03-18,3856.5
2026,1804,2026-03-13,6659.21
2026,2023,2026-03-23,1272.73
2026,1894,2026-03-18,5606.73
2026,1986,2026-03-20,91.2
2026,2026,2026-03-23,907.87
2026,2232,2026-04-01,334.16
2026,2323,2026-04-08,5889.21
