anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,4,2025-01-02,350000
2025,14,2025-01-02,35726.68
2025,20,2025-01-02,8349.46
2025,18,2025-01-02,4035
2025,28,2025-01-22,136.23
2025,11,2025-01-02,10000
2025,32,2025-01-24,313615
2025,10,2025-01-02,12064.51
2025,29,2025-01-22,265.55
2025,34,2025-01-29,69915.15
2025,12,2025-01-02,2147304
2025,22,2025-01-02,8893.96
2025,2,2025-01-02,1560
2025,6,2025-01-02,650000
2025,1,2025-01-02,5000
2025,13,2025-01-02,4830
2025,17,2025-01-02,272227.13
2025,15,2025-01-02,244862.13
2025,24,2025-01-02,9003.52
2025,5,2025-01-02,800000
2025,9,2025-01-02,3280.9
2025,23,2025-01-02,4350.86
2025,8,2025-01-02,2338.52
2025,16,2025-01-02,15500
2025,21,2025-01-02,687.7
2025,7,2025-01-02,38160
2025,3,2025-01-02,70000
2025,69,2025-02-28,59628
2025,51,2025-02-14,6821.78
2025,53,2025-02-14,405.73
2025,47,2025-02-13,485.55
2025,54,2025-02-14,251.5
2025,59,2025-02-20,18000
2025,46,2025-02-13,951.12
2025,55,2025-02-14,1163.36
2025,37,2025-02-05,261.91
2025,52,2025-02-14,1509.25
2025,113,2025-03-25,4131
2025,103,2025-03-20,20112.81
2025,104,2025-03-20,6149.4
2025,93,2025-03-14,432.38
2025,94,2025-03-14,637.29
2025,143,2025-04-16,3739.23
2025,138,2025-04-15,63600
2025,155,2025-04-28,1326
2025,151,2025-04-25,499.99
2025,129,2025-04-04,183750
2025,142,2025-04-16,442
2025,141,2025-04-16,2314.61
2025,156,2025-04-28,1140
2025,139,2025-04-16,2101.03
2025,140,2025-04-16,595.74
2025,195,2025-05-16,520.05
2025,171,2025-05-05,247.57
2025,259,2025-06-12,11360.51
2025,258,2025-06-12,536826
2025,278,2025-06-24,215.8
2025,276,2025-06-24,4650
2025,271,2025-06-16,43.31
2025,277,2025-06-24,2146.82
2025,275,2025-06-24,11047.66
2025,244,2025-06-06,350000
2025,236,2025-06-02,12000
2025,324,2025-07-16,438.99
2025,330,2025-07-25,6667.9
2025,331,2025-07-25,1350
2025,314,2025-07-10,1688.29
2025,313,2025-07-10,4022.02
2025,335,2025-07-30,149.37
2025,290,2025-07-03,378937.5
2025,311,2025-07-10,375.66
2025,312,2025-07-10,480.81
2025,333,2025-07-28,20000
2025,325,2025-07-22,43.31
2025,329,2025-07-25,1236
2025,304,2025-07-09,46538.03
2025,334,2025-07-28,20000
2025,363,2025-08-21,1882.17
2025,370,2025-08-26,263.12
2025,362,2025-08-21,1013.97
2025,336,2025-08-01,104.13
2025,346,2025-08-08,5250
2025,364,2025-08-21,1533.24
2025,435,2025-09-29,11982.84
2025,384,2025-09-04,280.09
2025,383,2025-09-03,1068.91
2025,399,2025-09-11,1279.75
2025,480,2025-10-27,1007.22
2025,446,2025-10-03,149.37
2025,462,2025-10-13,687.7
2025,461,2025-10-10,369.35
2025,459,2025-10-10,1826.24
2025,460,2025-10-10,944.32
2025,457,2025-10-10,517.48
2025,485,2025-10-29,779.28
2025,458,2025-10-10,1770.61
2025,455,2025-10-10,868.63
2025,456,2025-10-10,821.6
2025,496,2025-11-07,11.78
2025,489,2025-11-03,149.37
2025,495,2025-11-07,830.95
2025,498,2025-11-10,120
2025,491,2025-11-05,45.72
2025,510,2025-11-17,1024.1
2025,493,2025-11-06,246.17
2025,490,2025-11-05,45.72
2025,497,2025-11-10,84184
2025,503,2025-11-12,94734.38
2025,556,2025-12-10,886.56
2025,555,2025-12-10,1724.76
2025,569,2025-12-19,120
2025,557,2025-12-10,1917.89
2025,549,2025-12-10,103891.79
