anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1812,2025-02-27,2560.65
2025,1838,2025-02-27,9133.07
2025,1794,2025-02-27,4456.78
2025,1760,2025-02-27,15768.31
2025,1778,2025-02-27,4660.49
2025,1790,2025-02-27,82007.68
2025,1757,2025-02-27,964.26
2025,1762,2025-02-27,1928.52
2025,1837,2025-02-27,12431.06
2025,1829,2025-02-27,30491.84
2025,1756,2025-02-27,3241.57
2025,1795,2025-02-27,6155.71
2025,1764,2025-02-27,2568.94
2025,1816,2025-02-27,8446.08
2025,1763,2025-02-27,7968.8
2025,1766,2025-02-27,18779.23
2025,1774,2025-02-27,34995.8
2025,1700,2025-02-27,321.42
2025,1761,2025-02-27,6429.56
2025,1835,2025-02-27,10125.15
2025,1811,2025-02-27,3886.76
2025,1842,2025-02-27,1317.12
2025,1792,2025-02-27,5509.49
2025,1830,2025-02-27,14946.17
2025,1784,2025-02-27,15007.02
2025,1815,2025-02-27,2940.32
2025,1803,2025-02-27,8573.59
2025,1698,2025-02-27,35.5
2025,1782,2025-02-27,6120.15
2025,1767,2025-02-27,10571.85
2025,1825,2025-02-27,20709.79
2025,2444,2025-03-28,964.26
2025,2410,2025-03-28,9243.8
2025,2362,2025-03-28,32.14
2025,2432,2025-03-28,3876.05
2025,1964,2025-03-06,212.75
2025,2357,2025-03-28,96.43
2025,2425,2025-03-28,642.84
2025,2359,2025-03-28,257.14
2025,2311,2025-03-27,15248.11
2025,2074,2025-03-11,2350.95
2025,2417,2025-03-28,4180.07
2025,2457,2025-03-28,321.42
2025,2364,2025-03-28,21.43
2025,2418,2025-03-28,4526.19
2025,2406,2025-03-28,3702.27
2025,2361,2025-03-28,128.57
2025,2414,2025-03-28,5026.59
2025,2368,2025-03-28,117.85
2025,2426,2025-03-28,9059.63
2025,2194,2025-03-19,300000
2025,2365,2025-03-28,171.42
2025,2269,2025-03-24,108798.48
2025,2409,2025-03-28,36548.5
2025,2685,2025-04-09,2350.95
2025,2686,2025-04-09,2350.95
2025,3039,2025-04-29,32.14
2025,3032,2025-04-29,160.71
2025,3465,2025-05-19,2350.95
2025,3470,2025-05-19,2350.95
2025,3338,2025-05-09,1548
2025,4426,2025-06-26,280000
2025,5348,2025-07-30,4000
2025,4880,2025-07-14,2473.2
2025,4669,2025-07-03,2473.2
2025,4885,2025-07-14,2473.2
2025,5347,2025-07-30,4650
2025,5601,2025-08-21,6000
2025,6343,2025-09-19,2473.2
2025,6031,2025-09-03,2473.2
2025,6285,2025-09-16,2473.2
2025,6145,2025-09-09,604.82
2025,6712,2025-10-10,633.18
2025,6711,2025-10-10,2980.7
2025,6933,2025-10-21,109712.16
2025,7259,2025-11-03,1498.5
2025,7453,2025-11-14,2473.2
2025,7699,2025-11-27,403.7
2025,7463,2025-11-17,2211.2
2025,7513,2025-11-21,2473.2
2025,7900,2025-12-09,400
2025,7893,2025-12-09,778
2025,7894,2025-12-09,1300
2025,7985,2025-12-15,2098.64
2025,8304,2025-12-30,2335.84
