anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,918,2025-01-30,79.79
2025,782,2025-01-22,512.91
2025,1560,2025-02-21,79.79
2025,1626,2025-02-26,79.79
2025,1222,2025-02-07,1424.75
2025,1348,2025-02-13,79.79
2025,2544,2025-03-31,79.79
2025,2064,2025-03-11,170.97
2025,1937,2025-03-05,170.97
2025,1936,2025-03-05,170.97
2025,2905,2025-04-23,79.79
2025,2994,2025-04-28,79.79
2025,2906,2025-04-23,79.79
2025,2907,2025-04-23,170.97
2025,2993,2025-04-28,79.79
2025,2995,2025-04-28,170.97
2025,3411,2025-05-14,339.72
2025,3522,2025-05-21,79.79
2025,3390,2025-05-13,79.79
2025,3388,2025-05-13,170.97
2025,3389,2025-05-13,79.79
2025,3464,2025-05-16,1139.8
2025,3969,2025-06-06,79.79
2025,4092,2025-06-17,79.79
2025,4080,2025-06-16,4879
2025,4072,2025-06-13,683.88
2025,3965,2025-06-06,170.97
2025,4301,2025-06-26,170.97
2025,4081,2025-06-16,79.79
2025,3979,2025-06-09,455.92
2025,4300,2025-06-26,79.79
2025,4046,2025-06-12,227.96
2025,4423,2025-06-26,79.79
2025,4053,2025-06-13,227.96
2025,3964,2025-06-06,79.79
2025,5345,2025-07-30,79.79
2025,5346,2025-07-30,79.79
2025,5562,2025-08-18,79.79
2025,5759,2025-08-26,854.85
2025,5452,2025-08-08,79.79
2025,5568,2025-08-19,79.79
2025,5515,2025-08-13,79.79
2025,5662,2025-08-21,79.79
2025,5831,2025-08-28,79.79
2025,5757,2025-08-26,79.79
2025,5756,2025-08-26,512.91
2025,5567,2025-08-19,79.79
2025,5516,2025-08-13,79.79
2025,6434,2025-09-25,120
2025,6436,2025-09-25,120
2025,6494,2025-09-29,120
2025,6361,2025-09-22,529
2025,6398,2025-09-23,930
2025,6057,2025-09-03,79.79
2025,6495,2025-09-29,120
2025,6279,2025-09-16,1000
2025,6384,2025-09-23,1032
2025,6357,2025-09-22,691.68
2025,6493,2025-09-29,258
2025,6364,2025-09-22,980
2025,6391,2025-09-23,120
2025,6390,2025-09-23,465
2025,6059,2025-09-03,170.97
2025,6392,2025-09-23,120
2025,6058,2025-09-03,79.79
2025,6839,2025-10-15,120
2025,6838,2025-10-15,258
2025,6951,2025-10-22,120
2025,6799,2025-10-13,1985
2025,6921,2025-10-17,120
2025,6928,2025-10-20,930
2025,6837,2025-10-15,120
2025,6919,2025-10-17,465
2025,6923,2025-10-17,1032
2025,6668,2025-10-02,155
2025,6952,2025-10-22,120
2025,6922,2025-10-17,120
2025,7490,2025-11-18,120
2025,7493,2025-11-18,516
2025,7556,2025-11-25,120
2025,7368,2025-11-10,120
2025,7542,2025-11-24,120
2025,7543,2025-11-24,120
2025,7492,2025-11-18,240
2025,7491,2025-11-18,240
2025,7358,2025-11-07,120
2025,7432,2025-11-12,240
2025,7990,2025-12-15,258
2025,8260,2025-12-19,258
2025,8261,2025-12-19,120
2025,7991,2025-12-15,120
2025,8262,2025-12-19,120
2025,7992,2025-12-15,120
2025,8000,2025-12-16,1734.4
