anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1108,2025-01-30,144899.5
2025,218,2025-01-02,5000000
2025,98,2025-01-02,159265.31
2025,1559,2025-02-21,900000
2025,1165,2025-02-04,39190
2025,1608,2025-02-26,9220
2025,1941,2025-03-05,4037
2025,2963,2025-04-28,1104534.6
2025,3173,2025-04-29,355000
2025,3329,2025-05-09,13748.5
2025,4736,2025-07-09,398500
2025,6332,2025-09-18,480000
2025,6437,2025-09-26,2800000
2025,6215,2025-09-12,301000
2025,6732,2025-10-10,21430
2025,6731,2025-10-10,8072
2025,7473,2025-11-18,3140
2025,7265,2025-11-03,27300
