anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,675,2023-01-23,5625
2023,806,2023-01-26,3120
2023,327,2023-01-03,15884.86
2023,328,2023-01-03,80000
2023,1021,2023-01-30,10000.8
2023,329,2023-01-03,50000
2023,745,2023-01-24,428.07
2023,875,2023-01-30,2340
2023,326,2023-01-03,34748.12
2023,652,2023-01-19,3620
2023,672,2023-01-20,1625.99
2023,651,2023-01-19,2810
2023,1170,2023-02-09,532.91
2023,1169,2023-02-09,630.07
2023,1122,2023-02-06,5000
2023,1288,2023-02-15,583
2023,1361,2023-02-20,915.22
2023,1132,2023-02-06,1685
2023,1360,2023-02-20,4120.06
2023,1659,2023-03-07,3400
2023,1797,2023-03-14,2500
2023,2017,2023-03-27,15386.7
2023,1910,2023-03-20,3400
2023,1891,2023-03-17,450
2023,2024,2023-03-27,2610
2023,2212,2023-03-30,4478.01
2023,1887,2023-03-17,2176.8
2023,2215,2023-03-30,860
2023,1888,2023-03-17,4699
2023,2229,2023-03-31,7400
2023,1725,2023-03-10,4320
2023,2032,2023-03-28,5074.44
2023,1681,2023-03-08,100
2023,1724,2023-03-10,8250
2023,2216,2023-03-30,480
2023,1886,2023-03-17,5544.93
2023,2554,2023-04-19,4000
2023,2527,2023-04-18,2100
2023,2437,2023-04-13,1745.64
2023,2438,2023-04-13,580.25
2023,2396,2023-04-12,5640
2023,2439,2023-04-13,4286.36
2023,2284,2023-04-05,480
2023,2789,2023-04-27,1662.44
2023,2421,2023-04-13,356
2023,2423,2023-04-13,401.7
2023,2236,2023-04-03,6040
2023,2528,2023-04-18,2000
2023,2440,2023-04-13,1577.5
2023,2474,2023-04-17,498.5
2023,2788,2023-04-27,4662.15
2023,2424,2023-04-13,1229.36
2023,2422,2023-04-13,8400
2023,2553,2023-04-19,187.8
2023,2481,2023-04-17,11970
2023,2253,2023-04-03,200
2023,2425,2023-04-13,2280
2023,3312,2023-05-25,10500
2023,2899,2023-05-04,2803.11
2023,3092,2023-05-15,2720
2023,3094,2023-05-15,2901
2023,3128,2023-05-16,999.46
2023,2898,2023-05-04,1284.9
2023,2977,2023-05-09,1880
2023,3149,2023-05-17,1821.74
2023,3150,2023-05-17,657.16
