anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,422,2025-01-15,1534.76
2025,468,2025-01-16,4514.1
2025,417,2025-01-15,1197.6
2025,466,2025-01-16,114
2025,467,2025-01-16,5297.8
2025,477,2025-01-16,2405
2025,453,2025-01-16,65
2025,456,2025-01-16,1974.5
2025,455,2025-01-16,648
2025,464,2025-01-16,823
2025,459,2025-01-16,981.1
2025,458,2025-01-16,1335.2
2025,475,2025-01-16,6648.5
2025,424,2025-01-15,686.31
2025,481,2025-01-16,12230.7
2025,427,2025-01-15,2233.06
2025,457,2025-01-16,2050
2025,471,2025-01-16,12887.2
2025,454,2025-01-16,2670
2025,1375,2025-02-25,381.6
2025,1381,2025-02-25,58000
2025,1378,2025-02-25,10915.2
2025,1373,2025-02-25,5425
2025,1377,2025-02-25,1681.3
2025,1367,2025-02-25,44000
2025,1376,2025-02-25,425.4
2025,1374,2025-02-25,6334.5
2025,1371,2025-02-25,8411.03
2025,1372,2025-02-25,50628.97
2025,1380,2025-02-25,1161.25
2025,1934,2025-03-25,356.8
2025,1930,2025-03-25,591
2025,1945,2025-03-25,676.8
2025,1866,2025-03-21,51840
2025,1932,2025-03-25,1257.9
2025,1943,2025-03-25,425.4
2025,1935,2025-03-25,600.5
2025,1944,2025-03-25,363.9
2025,1937,2025-03-25,5057.3
2025,1867,2025-03-21,51840
2025,2192,2025-04-04,10699.5
2025,2516,2025-04-29,2475.24
2025,2518,2025-04-29,2735.2
2025,2517,2025-04-29,665.8
2025,2523,2025-04-29,1040.5
2025,2519,2025-04-29,2257.2
2025,2525,2025-04-29,121.3
2025,2520,2025-04-29,13958
2025,2513,2025-04-29,60024.43
2025,2512,2025-04-29,25252.5
2025,2442,2025-04-25,40123.75
2025,2499,2025-04-29,79716.34
2025,2522,2025-04-29,20508
2025,2191,2025-04-04,1875
2025,2190,2025-04-04,5000
2025,2524,2025-04-29,4454.4
2025,2500,2025-04-29,283.66
2025,2515,2025-04-29,12979.5
2025,2514,2025-04-29,3340
2025,2521,2025-04-29,6140
2025,2189,2025-04-04,2750
2025,2167,2025-04-04,49864.05
2025,2935,2025-05-22,262.28
2025,2936,2025-05-22,3040
2025,2942,2025-05-22,14158.4
2025,2941,2025-05-22,984
2025,2940,2025-05-22,18450
2025,2938,2025-05-22,3250
2025,2934,2025-05-22,418.6
2025,2937,2025-05-22,119.52
2025,2930,2025-05-22,1590
2025,2939,2025-05-22,8698.96
2025,2931,2025-05-22,431
2025,3358,2025-06-17,51840
2025,3355,2025-06-17,51840
2025,4613,2025-08-26,636
2025,4612,2025-08-26,1200
2025,4934,2025-09-10,27583.5
2025,4938,2025-09-10,51840
2025,4937,2025-09-10,51840
2025,5430,2025-10-10,391.08
2025,5431,2025-10-10,258
2025,5432,2025-10-10,132.6
2025,5526,2025-10-16,43719.03
2025,6091,2025-11-05,3172
2025,6110,2025-11-06,1426.6
