anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,340,2024-01-03,1000000
2024,114,2024-01-02,67500
2024,113,2024-01-02,6500
2024,966,2024-01-30,1000
2024,971,2024-01-30,57561.9
2024,427,2024-01-03,40496.46
2024,361,2024-01-03,15000
2024,353,2024-01-03,1200000
2024,870,2024-01-29,145465.02
2024,393,2024-01-03,384391.84
2024,428,2024-01-03,10611
2024,718,2024-01-18,1548
2024,713,2024-01-18,91.73
2024,430,2024-01-03,63970.45
2024,431,2024-01-03,19685.5
2024,1105,2024-01-31,580.5
2024,339,2024-01-03,8700000
2024,871,2024-01-29,14538.5
2024,390,2024-01-03,6832
2024,424,2024-01-03,147030
2024,712,2024-01-18,2285.01
2024,356,2024-01-03,80000
2024,1106,2024-01-31,58954.55
2024,429,2024-01-03,326320.45
2024,587,2024-01-05,3440
2024,425,2024-01-03,146680.7
2024,872,2024-01-29,3024
2024,435,2024-01-03,6319.5
2024,432,2024-01-03,5676
2024,588,2024-01-05,224
2024,360,2024-01-03,195000
2024,388,2024-01-03,6720
2024,355,2024-01-03,20000
2024,433,2024-01-03,19404
2024,1107,2024-01-31,10604
2024,585,2024-01-05,1456.45
2024,59,2024-01-02,29586.6
2024,389,2024-01-03,3738
2024,437,2024-01-03,57561.9
2024,439,2024-01-04,4028
2024,426,2024-01-03,55877.79
2024,423,2024-01-03,1479
2024,346,2024-01-03,500000
2024,354,2024-01-03,300000
2024,1108,2024-01-31,6720
2024,600,2024-01-05,411125.5
2024,436,2024-01-03,15622
2024,434,2024-01-03,3584
2024,1201,2024-02-07,7260.03
2024,1316,2024-02-14,125747.57
2024,1421,2024-02-20,15985.08
2024,1420,2024-02-20,11690
2024,1417,2024-02-20,156533.63
2024,1200,2024-02-07,16814.96
2024,1220,2024-02-08,113314.1
2024,1498,2024-02-26,25875
2024,1419,2024-02-20,20263.49
2024,1424,2024-02-20,40169
2024,1182,2024-02-07,4952.28
2024,1246,2024-02-09,2366000
2024,1418,2024-02-20,1579.5
2024,1423,2024-02-20,119205.16
2024,1425,2024-02-20,27019.25
2024,1422,2024-02-20,2490
2024,1185,2024-02-07,1238.36
2024,1999,2024-03-13,479.55
2024,1998,2024-03-13,388.71
2024,1923,2024-03-08,24194
2024,2132,2024-03-21,102000
2024,1920,2024-03-08,891
2024,2214,2024-03-26,500000
2024,2131,2024-03-21,38850
2024,2429,2024-03-28,65000
2024,2215,2024-03-26,500000
2024,1921,2024-03-08,22280
2024,2120,2024-03-20,5812.56
2024,2245,2024-03-27,1547.52
2024,2216,2024-03-26,500000
