anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,630,2024-01-30,1670.66
2024,672,2024-01-30,554.87
2024,494,2024-01-30,702.27
2024,649,2024-01-30,40021.07
2024,651,2024-01-30,88.94
2024,661,2024-01-30,177876.4
2024,629,2024-01-30,240614.88
2024,2040,2024-04-29,131.79
2024,2015,2024-04-29,2243.32
2024,2491,2024-05-29,1091.26
2024,2499,2024-05-29,2233.72
2024,2495,2024-05-29,113294.95
2024,2441,2024-05-29,473.63
2024,2531,2024-05-29,27074.9
2024,2443,2024-05-29,967.51
2024,2514,2024-05-29,164075.47
2024,2505,2024-05-29,1338.37
2024,3488,2024-07-31,473.39
2024,3482,2024-07-31,345.42
