anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,218,2026-01-29,1208.03
2026,231,2026-01-29,4021.11
2026,223,2026-01-29,41797.59
2026,206,2026-01-29,21.64
2026,222,2026-01-29,160954.5
2026,217,2026-01-29,5347.38
2026,207,2026-01-29,3998.68
2026,5,2026-01-02,200000
2026,229,2026-01-29,28225.29
2026,295,2026-02-26,192721.28
2026,287,2026-02-26,28327.41
2026,291,2026-02-26,7325.47
2026,281,2026-02-26,3132.85
2026,280,2026-02-26,2778.22
2026,294,2026-02-26,3945.15
2026,338,2026-03-30,30519.45
2026,344,2026-03-30,197673.52
2026,342,2026-03-30,1578.79
2026,334,2026-03-30,4671.6
2026,333,2026-03-30,1038.83
2026,331,2026-03-30,8426.99
