anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,759,2024-02-06,5311
2024,760,2024-02-06,15000
2024,898,2024-02-19,12000
2024,761,2024-02-06,20000
2024,764,2024-02-06,20000
2024,762,2024-02-06,30000
2024,763,2024-02-06,20000
2024,1425,2024-03-21,8113
2024,1404,2024-03-20,87.25
2024,2062,2024-04-30,34000
2024,2088,2024-04-30,26000
2024,2057,2024-04-30,67000
2024,2085,2024-04-30,206000
2024,1939,2024-04-26,99509
2024,1618,2024-04-02,500
2024,1786,2024-04-17,87.25
2024,2087,2024-04-30,18000
2024,2086,2024-04-30,33000
2024,2214,2024-05-14,87.25
2024,2901,2024-06-26,54621
2024,2896,2024-06-26,50000
2024,2897,2024-06-26,90370
2024,2899,2024-06-26,51579
2024,2898,2024-06-26,51098
2024,2732,2024-06-14,11100
2024,2895,2024-06-26,50000
2024,2810,2024-06-19,34.9
2024,4032,2024-08-30,5564.25
2024,3564,2024-08-02,71446.71
2024,3565,2024-08-02,75118.32
2024,3758,2024-08-16,2000
2024,4149,2024-09-09,5400
2024,4148,2024-09-09,5400
2024,4354,2024-09-24,139.6
2024,4151,2024-09-09,5400
2024,4150,2024-09-09,5400
2024,4367,2024-09-26,5764
2024,4368,2024-09-26,6137.45
2024,4152,2024-09-09,5400
2024,4713,2024-10-16,69.8
2024,4870,2024-10-30,1000
2024,4869,2024-10-30,1000
2024,4499,2024-10-01,16273.5
2024,4797,2024-10-23,69.8
2024,5084,2024-11-12,3314
2024,5258,2024-11-26,69.8
2024,5035,2024-11-06,1000
2024,5039,2024-11-07,150
2024,5592,2024-12-12,174.5
2024,5603,2024-12-13,9935
2024,5485,2024-12-06,174.5
2024,5531,2024-12-09,281.67
2024,5545,2024-12-09,3697.38
