anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,331,2024-01-03,100000
2024,327,2024-01-03,100000
2024,330,2024-01-03,500000
2024,378,2024-01-03,50000
2024,372,2024-01-03,100000
2024,732,2024-01-19,215741.41
2024,99,2024-01-02,1200000
2024,153,2024-01-02,186746.66
2024,98,2024-01-02,350000
2024,733,2024-01-19,159468
2024,734,2024-01-19,32226.64
2024,1480,2024-02-23,99.64
2024,1434,2024-02-21,328721.95
2024,1433,2024-02-21,31364.84
2024,1313,2024-02-14,190965.74
2024,1435,2024-02-21,295208.44
2024,2193,2024-03-26,146.66
2024,1776,2024-03-01,99.64
2024,2025,2024-03-13,99.64
2024,1777,2024-03-01,99.64
2024,1765,2024-03-01,4123
2024,1916,2024-03-08,99.64
2024,2192,2024-03-26,146.66
2024,1863,2024-03-05,119.61
2024,2917,2024-04-24,16400.4
2024,2787,2024-04-19,201163.71
2024,2526,2024-04-04,131629.63
2024,2783,2024-04-19,18625.95
2024,2531,2024-04-04,24198.92
2024,3538,2024-05-23,254721.87
2024,3540,2024-05-23,67402.35
2024,3391,2024-05-13,190082.47
2024,3460,2024-05-16,28542
2024,3375,2024-05-10,99893
2024,3539,2024-05-23,33947.14
2024,3531,2024-05-22,119.61
2024,4319,2024-06-25,374000.4
2024,4245,2024-06-21,27038.78
2024,4802,2024-07-10,168688.32
2024,5783,2024-08-26,170.24
2024,6109,2024-08-30,51130
2024,5781,2024-08-23,99.64
2024,5623,2024-08-14,113275.7
2024,5815,2024-08-27,75818.8
2024,5900,2024-08-29,209952.91
2024,5784,2024-08-26,170.24
2024,5315,2024-08-01,214393.86
2024,6201,2024-09-06,63325.79
2024,6146,2024-09-03,170.24
2024,6578,2024-09-27,119.61
2024,6147,2024-09-03,170.24
2024,6531,2024-09-24,169625.35
2024,6433,2024-09-17,100000
2024,6574,2024-09-27,154964.32
2024,7110,2024-10-22,104.13
2024,7106,2024-10-22,104.13
2024,7201,2024-10-29,99797.3
2024,6814,2024-10-02,46143
2024,7432,2024-10-31,99797.3
2024,7770,2024-11-18,140179.96
2024,7769,2024-11-18,42659.9
2024,8286,2024-12-05,250000
2024,8192,2024-12-02,145257.4
