anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,549,2023-01-30,150000
2023,500,2023-01-30,214050.81
2023,511,2023-01-30,6317.26
2023,494,2023-01-30,4133.4
2023,950,2023-02-27,232438.68
2023,946,2023-02-27,16621.32
2023,964,2023-02-27,2638.04
2023,1005,2023-02-27,150000
2023,945,2023-02-27,1312.21
2023,1347,2023-03-30,218082.05
2023,1343,2023-03-30,5307.37
2023,1342,2023-03-30,961.25
2023,1398,2023-03-30,150000
2023,1359,2023-03-30,2565.59
2023,1771,2023-04-27,150000
2023,1717,2023-04-27,515.51
2023,1735,2023-04-27,1564.77
2023,1722,2023-04-27,236302.6
2023,1718,2023-04-27,1968.32
2023,2146,2023-05-31,281412.41
2023,2016,2023-05-17,98.17
2023,2141,2023-05-31,9218.05
2023,2201,2023-05-31,150000
2023,2140,2023-05-31,3606.96
2023,2507,2023-06-29,238760.4
2023,2565,2023-06-29,150000
2023,2502,2023-06-29,27164.87
2023,2501,2023-06-29,10394.21
2023,2666,2023-07-06,139581.49
2023,2917,2023-07-27,255025.91
2023,2977,2023-07-27,150000
2023,2723,2023-07-11,934.14
2023,2911,2023-07-27,39771.26
2023,2931,2023-07-27,2534.9
2023,2912,2023-07-27,97966.77
2023,3350,2023-08-30,219721.03
2023,3386,2023-08-30,150000
2023,3773,2023-09-28,150000
2023,3731,2023-09-28,234028.48
2023,4151,2023-10-27,4296.55
2023,4150,2023-10-27,2812.2
2023,4191,2023-10-27,267440.53
2023,3885,2023-10-06,5133.21
2023,4175,2023-10-27,2456.46
2023,4155,2023-10-27,150000
2023,4621,2023-11-29,1059
2023,4635,2023-11-29,45384.84
2023,4606,2023-11-29,6571.88
2023,4622,2023-11-29,150000
2023,4651,2023-11-29,14981.91
2023,4589,2023-11-29,183034.2
2023,4969,2023-12-21,200.52
2023,4776,2023-12-07,180186.83
2023,5038,2023-12-22,150000
2023,4966,2023-12-21,7379.81
2023,4787,2023-12-07,10210.68
2023,5016,2023-12-22,28595.59
2023,4954,2023-12-21,46186.12
2023,4998,2023-12-22,219445.26
2023,5037,2023-12-22,1059
2023,4946,2023-12-21,4353.81
