anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,912,2023-01-30,4018158.41
2023,923,2023-01-30,21145.84
2023,909,2023-01-30,616297.63
2023,913,2023-01-30,70387.03
2023,474,2023-01-12,8000000
2023,924,2023-01-30,1201.13
2023,1180,2023-02-10,4455.41
2023,1444,2023-02-27,673630.01
2023,1451,2023-02-27,846.5
2023,1399,2023-02-23,42.71
2023,1462,2023-02-27,8007.16
2023,1183,2023-02-10,384.36
2023,1241,2023-02-13,94.53
2023,1455,2023-02-27,8219.86
2023,1398,2023-02-23,1345.26
2023,1461,2023-02-27,62360.34
2023,1447,2023-02-27,4305728.14
2023,1448,2023-02-27,68787.27
2023,1181,2023-02-10,480.45
2023,1649,2023-03-07,312535.84
2023,1654,2023-03-07,5477.16
2023,2084,2023-03-30,74753.96
2023,1605,2023-03-02,1498.99
2023,2080,2023-03-30,658129.91
2023,2096,2023-03-30,8979.6
2023,1657,2023-03-07,205.91
2023,2097,2023-03-30,6784.48
2023,2083,2023-03-30,5482312.9
2023,2087,2023-03-30,2046.16
2023,1655,2023-03-07,228.79
2023,2091,2023-03-30,8624.06
2023,2759,2023-04-27,79949.2
2023,2755,2023-04-27,433116.66
2023,2773,2023-04-27,220052.43
2023,2762,2023-04-27,2111.93
2023,2758,2023-04-27,5569630.03
2023,2765,2023-04-27,8475.26
2023,2772,2023-04-27,8766.13
2023,2771,2023-04-27,21931.06
2023,3423,2023-05-31,1149.53
2023,3416,2023-05-31,679589.77
2023,3432,2023-05-31,34288.07
2023,3419,2023-05-31,8380936.19
2023,3433,2023-05-31,17979.81
2023,3420,2023-05-31,102263.06
2023,3426,2023-05-31,3931.61
2023,4162,2023-06-29,6291763.58
2023,4174,2023-06-29,21175.86
2023,4163,2023-06-29,66494.65
2023,4173,2023-06-29,33789.44
2023,4159,2023-06-29,717720.92
2023,4817,2023-07-27,66580.4
2023,4823,2023-07-27,959.08
2023,4574,2023-07-11,733.2
2023,4820,2023-07-27,511.23
2023,4414,2023-07-06,315829.69
2023,4412,2023-07-06,33312.72
2023,4413,2023-07-06,2816281.49
2023,4740,2023-07-20,11171.26
2023,4829,2023-07-27,55912.62
2023,4813,2023-07-27,739402.36
2023,4830,2023-07-27,38388.22
2023,4831,2023-07-27,172212.02
2023,4816,2023-07-27,6149139.97
2023,5498,2023-08-30,2109.74
2023,5494,2023-08-30,6303289.45
2023,5505,2023-08-30,43499.38
2023,5499,2023-08-30,4612.21
2023,5495,2023-08-30,67067.45
2023,5491,2023-08-30,767006.86
2023,5506,2023-08-30,16428.49
2023,6075,2023-09-26,49.99
2023,6127,2023-09-28,70350.32
2023,6137,2023-09-28,30737.93
2023,6123,2023-09-28,745780.7
2023,6073,2023-09-26,4775.64
2023,6126,2023-09-28,6296947.76
2023,6133,2023-09-28,1173.83
2023,5655,2023-09-04,142.4
2023,6128,2023-09-28,6329.35
2023,6074,2023-09-26,770.11
2023,6138,2023-09-28,19174.59
2023,6131,2023-09-28,628.17
2023,6716,2023-10-27,3662.15
2023,6707,2023-10-27,6367961.28
2023,6723,2023-10-27,748352.87
2023,6711,2023-10-27,2405.9
2023,6721,2023-10-27,7334.02
2023,6708,2023-10-27,69605.22
2023,6722,2023-10-27,4728.38
2023,7491,2023-11-29,495.59
2023,7523,2023-11-29,5202.99
2023,7524,2023-11-29,72035.79
2023,7402,2023-11-29,9395.91
2023,7401,2023-11-29,7225842.03
2023,7398,2023-11-29,35416.79
2023,7492,2023-11-29,8446.07
2023,7527,2023-11-29,31639.07
2023,7529,2023-11-29,2712.71
2023,7403,2023-11-29,5311.32
2023,7530,2023-11-29,517.82
2023,7967,2023-12-22,5044.3
2023,7949,2023-12-22,33714.21
2023,7968,2023-12-22,1486.77
2023,7936,2023-12-21,3036.3
2023,7939,2023-12-21,346381.43
2023,7898,2023-12-21,7546.3
2023,7896,2023-12-21,2303527.17
2023,7771,2023-12-15,333609.11
2023,7957,2023-12-22,2155261.17
2023,7955,2023-12-22,10123.96
2023,7894,2023-12-21,3121.32
2023,7950,2023-12-22,16541.03
2023,7650,2023-12-07,17556.5
2023,7886,2023-12-21,633.38
2023,7651,2023-12-07,7592.35
2023,7956,2023-12-22,15634.14
2023,7954,2023-12-22,8155499.45
2023,7933,2023-12-21,32744.88
2023,7649,2023-12-07,3151009.34
2023,7648,2023-12-07,4492.06
2023,7934,2023-12-21,64566.14
