anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1002,2023-01-30,68815.79
2023,927,2023-01-30,2108.85
2023,1551,2023-02-27,72971.79
2023,1510,2023-02-27,937.27
2023,2185,2023-03-30,92807.95
2023,2737,2023-04-27,95608.01
2023,3513,2023-05-31,103469.07
2023,4209,2023-06-29,917.02
2023,4231,2023-06-29,1555.19
2023,4233,2023-06-29,3239.61
2023,4280,2023-06-29,102200.33
2023,4456,2023-07-06,46351.58
2023,4921,2023-07-27,110670.19
2023,5515,2023-08-30,2200.81
2023,5573,2023-08-30,101621.15
2023,6219,2023-09-28,101874.23
2023,6164,2023-09-28,4760.25
2023,6794,2023-10-27,97521.42
2023,7541,2023-11-29,16408.61
2023,7536,2023-11-29,2310.89
2023,7473,2023-11-29,93335
2023,7414,2023-11-29,366.81
2023,7494,2023-11-29,122.27
2023,7698,2023-12-07,48988.88
2023,7905,2023-12-21,12300
2023,8040,2023-12-22,103336.66
2023,7972,2023-12-22,1249.55
