anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,116,2023-01-02,542378.92
2023,820,2023-02-17,272799
2023,688,2023-02-02,232309
2023,729,2023-02-06,111616.5
2023,1776,2023-04-27,10900.2
2023,1604,2023-04-20,92921.63
2023,1698,2023-04-26,11010
2023,1582,2023-04-18,88500
2023,1775,2023-04-27,5220
2023,1714,2023-04-26,121680
2023,1931,2023-05-11,52641.11
2023,1971,2023-05-15,92921.63
2023,2111,2023-05-25,21895.5
2023,2219,2023-05-31,2323467.05
2023,1973,2023-05-15,2323467.05
2023,1992,2023-05-15,19596
2023,2000,2023-05-15,58350
2023,4018,2023-10-19,117000
2023,3831,2023-10-03,2323467.05
2023,4286,2023-11-08,8399.9
