anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,442,2025-01-02,240013.62
2025,400,2025-01-02,193004.57
2025,389,2025-01-02,12053.13
2025,430,2025-01-02,688889.09
2025,461,2025-01-02,650271.89
2025,390,2025-01-02,418691.92
2025,388,2025-01-02,903191.72
2025,391,2025-01-02,502395.93
2025,428,2025-01-02,333770.36
2025,403,2025-01-02,359535.96
2025,462,2025-01-02,28342.44
2025,1913,2025-03-03,27018.69
2025,2083,2025-03-12,12876.51
2025,2155,2025-03-17,39568.53
2025,2156,2025-03-17,20752.14
2025,2911,2025-04-24,132353.6
2025,3636,2025-05-28,27928.84
2025,4975,2025-07-18,6856.66
2025,4996,2025-07-21,90141.32
2025,5506,2025-08-13,331772.39
2025,5563,2025-08-19,65772.41
2025,5968,2025-08-29,59857.01
2025,5445,2025-08-07,83793.75
2025,6115,2025-09-08,38845.24
2025,6351,2025-09-19,4301.52
2025,6723,2025-10-10,300000
2025,6724,2025-10-10,296000
2025,6696,2025-10-08,10418.1
2025,7462,2025-11-17,17363.5
