anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,824,2025-01-27,5910
2025,1163,2025-02-04,10272
2025,1546,2025-02-20,212995
2025,1631,2025-02-27,15980
2025,1424,2025-02-14,18040
2025,2146,2025-03-14,1570
2025,2619,2025-04-04,4036
2025,4158,2025-06-20,204000
2025,4250,2025-06-25,9699.98
2025,4251,2025-06-25,1996
2025,5043,2025-07-23,13599.99
2025,4710,2025-07-07,4980
2025,4897,2025-07-14,107970
2025,4953,2025-07-16,16200
2025,5013,2025-07-22,9700
2025,5015,2025-07-22,22085.1
2025,5016,2025-07-22,8250
2025,5014,2025-07-22,2690
2025,5012,2025-07-22,3300
2025,5555,2025-08-18,8520
2025,5977,2025-09-01,445
2025,5978,2025-09-01,548
2025,6173,2025-09-10,6080
2025,5976,2025-09-01,990
2025,5979,2025-09-01,448
2025,6293,2025-09-17,1883
2025,6796,2025-10-13,1366
2025,7353,2025-11-07,2475.12
2025,7344,2025-11-07,8990
2025,7500,2025-11-19,11130
2025,7354,2025-11-07,2748
2025,7348,2025-11-07,414
2025,7350,2025-11-07,445
2025,7655,2025-11-27,815.9
2025,7343,2025-11-07,87476.61
2025,7349,2025-11-07,494
2025,7984,2025-12-15,204000
