anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,723,2023-01-23,2336.48
2023,849,2023-01-27,2904.33
2023,523,2023-01-13,2013.3
2023,728,2023-01-23,2558.03
2023,534,2023-01-13,315.1
2023,551,2023-01-16,44.4
2023,710,2023-01-23,1108.84
2023,844,2023-01-27,424.14
2023,283,2023-01-03,82.66
2023,896,2023-01-30,7087.22
2023,529,2023-01-13,342.64
2023,340,2023-01-04,4790.92
2023,719,2023-01-23,2518.67
2023,722,2023-01-23,2336.48
2023,615,2023-01-17,15624
2023,888,2023-01-30,1416.51
2023,902,2023-01-30,5106.11
2023,535,2023-01-13,961.85
2023,711,2023-01-23,2269.12
2023,842,2023-01-27,535.56
2023,887,2023-01-30,4260.21
2023,705,2023-01-23,1392.75
2023,855,2023-01-27,7087.22
2023,884,2023-01-30,500
2023,897,2023-01-30,3133.15
2023,93,2023-01-02,955.28
2023,697,2023-01-23,1232.2
2023,715,2023-01-23,2098.87
2023,717,2023-01-23,2567.99
2023,839,2023-01-27,52.5
2023,840,2023-01-27,29.75
2023,810,2023-01-26,23.46
2023,519,2023-01-13,3524.56
2023,765,2023-01-24,4572.43
2023,631,2023-01-18,968.34
2023,619,2023-01-17,225.51
2023,704,2023-01-23,1007.7
2023,618,2023-01-17,3049.42
2023,903,2023-01-30,946.16
2023,716,2023-01-23,4587.65
2023,702,2023-01-23,2766.4
2023,731,2023-01-23,1080.91
2023,520,2023-01-13,3481.86
2023,695,2023-01-23,1503.8
2023,730,2023-01-23,2364.08
2023,742,2023-01-23,2.15
2023,533,2023-01-13,6826.72
2023,527,2023-01-13,5353.88
2023,526,2023-01-13,2263.24
2023,889,2023-01-30,4933.72
2023,892,2023-01-30,584.4
2023,860,2023-01-27,963.92
2023,210,2023-01-02,87.65
2023,726,2023-01-23,580.73
2023,893,2023-01-30,544.41
2023,518,2023-01-13,3307.2
2023,843,2023-01-27,2861.73
2023,713,2023-01-23,1645.63
2023,472,2023-01-12,1226315.34
2023,732,2023-01-23,2223.25
2023,530,2023-01-13,2875.37
2023,845,2023-01-27,1717.62
2023,890,2023-01-30,501.39
2023,524,2023-01-13,7023.58
2023,899,2023-01-30,2336.42
2023,885,2023-01-30,269.85
2023,698,2023-01-23,828.35
2023,617,2023-01-17,3508.27
2023,906,2023-01-30,4377.73
2023,550,2023-01-16,42.02
2023,709,2023-01-23,840.81
2023,850,2023-01-27,1936.84
2023,538,2023-01-13,1320.36
2023,861,2023-01-27,733.79
2023,848,2023-01-27,4972.86
2023,444,2023-01-10,42.13
2023,712,2023-01-23,817.01
2023,853,2023-01-27,3465.13
2023,882,2023-01-30,656.66
2023,692,2023-01-23,286.68
2023,517,2023-01-13,2279.42
2023,623,2023-01-17,3049.42
2023,516,2023-01-13,2501.36
2023,854,2023-01-27,7087.22
2023,622,2023-01-17,225.51
2023,900,2023-01-30,1807.14
2023,515,2023-01-13,944.1
2023,525,2023-01-13,7087.22
2023,891,2023-01-30,1895.43
2023,521,2023-01-13,1811.67
2023,700,2023-01-23,903.32
2023,624,2023-01-17,1022.42
2023,691,2023-01-23,17.17
2023,714,2023-01-23,1807.78
2023,621,2023-01-17,225.51
2023,693,2023-01-23,224.09
2023,708,2023-01-23,1648.84
2023,856,2023-01-27,1175.13
2023,614,2023-01-17,28701.12
2023,905,2023-01-30,3381.38
2023,699,2023-01-23,1110.7
2023,707,2023-01-23,939.22
2023,852,2023-01-27,3465.13
2023,696,2023-01-23,1117.81
2023,522,2023-01-13,169.48
2023,841,2023-01-27,1242.67
2023,559,2023-01-16,15624
2023,725,2023-01-23,2098.87
2023,701,2023-01-23,1700.76
2023,706,2023-01-23,656.18
2023,858,2023-01-27,1938.84
2023,851,2023-01-27,3521.47
2023,886,2023-01-30,3273.85
2023,846,2023-01-27,1376.44
2023,857,2023-01-27,7087.22
2023,809,2023-01-26,10.23
2023,895,2023-01-30,7087.22
2023,894,2023-01-30,2142.57
2023,847,2023-01-27,497.29
2023,630,2023-01-18,4293.78
2023,536,2023-01-13,3744.18
2023,904,2023-01-30,4878.47
2023,898,2023-01-30,6561.31
2023,718,2023-01-23,2563.39
2023,729,2023-01-23,1382
2023,531,2023-01-13,1828.9
2023,537,2023-01-13,4537.85
2023,514,2023-01-13,3587.89
2023,703,2023-01-23,4309.11
2023,528,2023-01-13,4463.55
2023,727,2023-01-23,2728.5
2023,901,2023-01-30,1746.6
2023,859,2023-01-27,2845.21
2023,620,2023-01-17,225.51
2023,539,2023-01-13,5620.41
2023,883,2023-01-30,765.92
2023,1340,2023-02-17,4813.23
2023,1338,2023-02-17,4813.23
2023,1158,2023-02-08,912.04
2023,1116,2023-02-03,5051.03
2023,1070,2023-02-01,8.92
2023,1243,2023-02-13,229.07
2023,1300,2023-02-15,1234368.26
2023,1313,2023-02-16,5145.17
2023,1317,2023-02-16,1376.44
2023,1336,2023-02-17,982.21
2023,1115,2023-02-03,5051.03
2023,1333,2023-02-17,7087.22
2023,1091,2023-02-02,1193.28
2023,1140,2023-02-07,31.42
2023,1318,2023-02-16,2440.69
2023,1315,2023-02-16,2242.03
2023,1416,2023-02-24,1936.33
2023,1314,2023-02-16,5230.49
2023,1092,2023-02-02,1173.81
2023,1328,2023-02-17,2062.16
2023,1343,2023-02-17,3338.63
2023,1331,2023-02-17,4305.94
2023,1345,2023-02-17,2367.1
2023,1308,2023-02-16,2367.1
2023,1310,2023-02-16,4961.54
2023,1123,2023-02-06,4588.56
2023,1344,2023-02-17,4305.94
2023,1413,2023-02-24,131.25
2023,1319,2023-02-16,1829.89
2023,1316,2023-02-16,4813.23
2023,1339,2023-02-17,4813.23
2023,1418,2023-02-24,2244.66
2023,1439,2023-02-27,92.22
2023,1335,2023-02-17,7087.22
2023,1309,2023-02-16,1915.16
2023,1086,2023-02-02,2815.68
2023,1129,2023-02-06,932.78
2023,1342,2023-02-17,2790.8
2023,1330,2023-02-17,12450
2023,1141,2023-02-07,502.6
2023,1291,2023-02-15,2772.15
2023,1094,2023-02-02,15.09
2023,1128,2023-02-06,303.68
2023,1332,2023-02-17,3944.38
2023,1346,2023-02-17,626.05
2023,1307,2023-02-16,4266.85
2023,1415,2023-02-24,2133.43
2023,1327,2023-02-17,1431.04
2023,1095,2023-02-02,709.53
2023,1347,2023-02-17,4074.72
2023,1341,2023-02-17,2724.08
2023,1329,2023-02-17,1993.92
2023,1369,2023-02-20,1666.66
2023,1088,2023-02-02,319.37
2023,1089,2023-02-02,133.93
2023,1337,2023-02-17,4813.23
2023,1235,2023-02-10,3892.39
2023,1326,2023-02-17,73.62
2023,1311,2023-02-16,2420.3
2023,1334,2023-02-17,4306.86
2023,1087,2023-02-02,78.64
2023,1321,2023-02-16,32.78
2023,1125,2023-02-06,426.28
2023,1126,2023-02-06,2841.87
2023,1071,2023-02-01,58.84
2023,1127,2023-02-06,3386.06
2023,1124,2023-02-06,800
2023,1312,2023-02-16,1897.95
2023,1090,2023-02-02,5730.67
2023,1100,2023-02-03,5026.04
2023,1093,2023-02-02,1221
2023,1414,2023-02-24,2240.1
2023,1417,2023-02-24,4211.73
2023,1880,2023-03-17,3562.71
2023,1874,2023-03-17,3799.79
2023,1835,2023-03-16,4211.73
