anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,820,2025-01-30,28529.41
2025,818,2025-01-30,742548.69
2025,789,2025-01-30,5595.28
2025,779,2025-01-30,58559.46
2025,846,2025-01-30,20430.81
2025,862,2025-01-30,18239.15
2025,770,2025-01-30,109116.59
2025,787,2025-01-30,18916.91
2025,857,2025-01-30,2312363.36
2025,1502,2025-02-27,34298.89
2025,1474,2025-02-27,271438.36
2025,1432,2025-02-27,69354.53
2025,1483,2025-02-27,26591.86
2025,921,2025-02-05,1862.21
2025,1496,2025-02-27,2653247.34
2025,1486,2025-02-27,5190.89
2025,1454,2025-02-27,94805.06
2025,1446,2025-02-27,10392.7
2025,1423,2025-02-27,2977.14
2025,1999,2025-03-28,73837.05
2025,1668,2025-03-11,11354.9
2025,2055,2025-03-28,97415.24
2025,2004,2025-03-28,2247.08
2025,2080,2025-03-28,26728.31
2025,2081,2025-03-28,26591.86
2025,2084,2025-03-28,4429.16
2025,1990,2025-03-28,47765.5
2025,2006,2025-03-28,188.07
2025,1612,2025-03-06,16424.63
2025,2096,2025-03-28,2829065.3
2025,2530,2025-04-29,14363.11
2025,2559,2025-04-29,42283.61
2025,2492,2025-04-29,2569.76
2025,2597,2025-04-29,120100.93
2025,2472,2025-04-29,43422.58
2025,2583,2025-04-29,1533.49
2025,2307,2025-04-14,1432.08
2025,2487,2025-04-29,26016.34
2025,2595,2025-04-29,2774221.77
2025,2543,2025-04-29,9163.92
2025,2529,2025-04-29,52000
2025,2339,2025-04-16,460.19
2025,2560,2025-04-29,28091.86
2025,3009,2025-05-29,160.57
2025,3024,2025-05-29,89610.99
2025,3018,2025-05-29,66635.6
2025,3079,2025-05-29,31123.44
2025,3062,2025-05-29,118552.21
2025,3032,2025-05-29,78.86
2025,3093,2025-05-29,2905974.47
2025,3061,2025-05-29,52000
2025,3099,2025-05-29,9257.82
2025,3025,2025-05-29,6514.6
2025,3069,2025-05-29,17000
2025,2655,2025-05-05,8074.01
2025,3078,2025-05-29,96829.52
2025,2799,2025-05-12,6966.78
2025,3572,2025-06-26,177752.95
2025,3612,2025-06-26,481.72
2025,3549,2025-06-26,1263.53
2025,3599,2025-06-26,83947.14
2025,3223,2025-06-06,1731.2
2025,3585,2025-06-26,43641.21
2025,3587,2025-06-26,497.1
2025,3536,2025-06-26,160623.11
2025,3641,2025-06-26,25952.13
2025,3539,2025-06-26,4054.83
2025,3541,2025-06-26,1382.78
2025,3606,2025-06-26,34404.55
2025,3650,2025-06-26,52000
2025,3633,2025-06-26,3052564.94
2025,3561,2025-06-26,39.63
2025,4117,2025-07-30,91183.38
2025,3828,2025-07-10,1361728.83
2025,4237,2025-07-31,116.67
2025,4198,2025-07-30,52000
2025,4125,2025-07-30,136.3
2025,4126,2025-07-30,37911.25
2025,4203,2025-07-30,26363.68
2025,4162,2025-07-30,33580.56
2025,4130,2025-07-30,5320.12
2025,3829,2025-07-10,13181.85
2025,4152,2025-07-30,305303.59
2025,4176,2025-07-30,2820732.28
2025,3822,2025-07-10,15627.88
2025,4732,2025-08-28,18428.28
2025,4672,2025-08-28,494.64
2025,4747,2025-08-28,3017374.31
2025,4668,2025-08-28,1379.5
2025,4664,2025-08-28,41203.41
2025,4649,2025-08-28,1331.93
2025,4733,2025-08-28,38048.81
2025,4653,2025-08-28,38464.84
2025,4696,2025-08-28,52000
2025,4709,2025-08-28,142000.5
2025,5249,2025-09-29,16960.06
2025,5234,2025-09-29,3045884.3
2025,4783,2025-09-02,771.31
2025,5185,2025-09-29,9143.5
2025,5183,2025-09-29,31415.29
2025,5257,2025-09-29,52000
2025,5202,2025-09-29,101628.48
2025,5187,2025-09-29,3718.04
2025,5222,2025-09-29,1798.1
2025,5203,2025-09-29,38032.32
2025,5178,2025-09-29,49361.72
2025,5830,2025-10-30,75721.02
2025,5959,2025-10-30,2197.68
2025,5953,2025-10-30,38032.32
2025,6001,2025-10-30,16554.99
2025,5995,2025-10-30,52000
2025,5780,2025-10-30,43110.87
2025,5828,2025-10-30,38964.27
2025,5949,2025-10-30,115643.26
2025,5986,2025-10-30,3016899.6
2025,6456,2025-11-27,22744.55
2025,6444,2025-11-27,1251850.58
2025,6381,2025-11-27,2033.52
2025,6363,2025-11-27,144027.95
2025,6464,2025-11-27,127795
2025,6377,2025-11-27,11654.35
2025,6300,2025-11-21,5399.09
2025,6416,2025-11-27,38032.32
2025,6419,2025-11-27,90785.15
2025,6465,2025-11-27,52000
2025,6466,2025-11-27,1700000
2025,6728,2025-12-18,226.43
2025,6769,2025-12-18,306194.32
2025,6617,2025-12-10,506997.94
2025,6600,2025-12-10,1356.61
2025,6794,2025-12-18,39268.78
2025,6637,2025-12-10,10118.85
2025,6793,2025-12-18,33633.72
2025,6773,2025-12-18,500000
2025,6775,2025-12-18,185031.69
2025,6599,2025-12-10,18046.42
2025,6613,2025-12-10,1167160.84
2025,6760,2025-12-18,1380.24
2025,6827,2025-12-18,1106763.45
2025,6802,2025-12-18,1782.42
2025,6840,2025-12-18,16986.19
2025,6614,2025-12-10,9618.39
2025,6726,2025-12-18,30062.27
2025,6838,2025-12-18,52000
2025,6611,2025-12-10,17774.06
2025,6615,2025-12-10,705.94
2025,6778,2025-12-18,1371933
