anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1027,2025-01-30,47988.28
2025,1028,2025-01-30,229838.02
2025,1061,2025-01-30,27405.58
2025,1025,2025-01-30,32953.97
2025,1034,2025-01-30,107007.53
2025,1013,2025-01-30,618587.03
2025,1834,2025-02-27,32953.97
2025,1820,2025-02-27,47988.28
2025,1768,2025-02-27,107007.53
2025,1841,2025-02-27,618587.04
2025,1819,2025-02-27,228224.54
2025,1797,2025-02-27,27405.58
2025,2485,2025-03-28,618587.04
2025,2464,2025-03-28,226590.97
2025,2438,2025-03-28,32953.97
2025,2439,2025-03-28,47988.28
2025,2415,2025-03-28,27405.58
2025,2411,2025-03-28,108621.01
2025,3123,2025-04-29,27405.58
2025,3163,2025-04-29,32953.97
2025,2758,2025-04-14,5052.65
2025,3162,2025-04-29,217527.66
2025,3095,2025-04-29,612422.23
2025,3007,2025-04-29,52411.89
2025,2759,2025-04-14,1613.48
2025,3140,2025-04-29,47988.28
2025,3142,2025-04-29,108621.01
2025,3597,2025-05-26,181269.05
2025,3576,2025-05-22,53297.57
2025,3815,2025-05-29,227354.49
2025,3488,2025-05-21,32434.98
2025,3580,2025-05-23,50569.72
2025,3366,2025-05-12,176768.01
2025,3753,2025-05-29,13038.59
2025,3450,2025-05-16,26715.19
2025,3730,2025-05-29,1176.07
2025,3628,2025-05-27,20576.14
2025,3793,2025-05-29,114518.87
2025,3640,2025-05-28,19354.72
2025,3798,2025-05-29,29063.14
2025,3581,2025-05-23,300153.81
2025,3637,2025-05-28,371734.57
2025,3449,2025-05-16,12770.75
2025,3676,2025-05-29,9203.29
2025,3814,2025-05-29,34971.15
2025,3457,2025-05-16,145577.16
2025,3398,2025-05-14,195519.07
2025,3860,2025-05-29,50913.3
2025,3547,2025-05-21,12769.89
2025,3787,2025-05-29,650263.15
2025,3876,2025-05-30,312874.06
2025,3980,2025-06-09,76378.32
2025,4509,2025-06-26,28861.52
2025,4114,2025-06-18,2010.78
2025,4324,2025-06-26,45.1
2025,3970,2025-06-09,3980.65
2025,4275,2025-06-26,35823.7
2025,4137,2025-06-18,7229.98
2025,4643,2025-06-30,687.97
2025,4612,2025-06-26,114518.87
2025,4615,2025-06-26,227476.97
2025,4260,2025-06-26,1456.42
2025,3963,2025-06-06,191437.55
2025,4406,2025-06-26,7028.25
2025,3977,2025-06-09,8030.09
2025,4139,2025-06-18,22363.4
2025,4262,2025-06-26,35823.7
2025,4108,2025-06-17,5308.8
2025,4534,2025-06-26,34971.15
2025,4045,2025-06-12,23083.2
2025,3895,2025-06-02,14397.85
2025,4329,2025-06-26,2575.13
2025,4368,2025-06-26,1126.62
2025,4273,2025-06-26,1456.42
2025,4042,2025-06-12,56233.55
2025,4580,2025-06-26,50913.3
2025,4052,2025-06-13,458829.53
2025,4286,2025-06-26,1456.42
2025,4041,2025-06-12,14520.34
2025,4150,2025-06-20,5741.52
2025,4333,2025-06-26,201.22
2025,4036,2025-06-12,269.52
2025,4642,2025-06-30,5338.69
2025,4285,2025-06-26,35823.7
2025,4143,2025-06-18,7355.1
2025,4391,2025-06-26,35823.7
2025,4337,2025-06-26,4007.76
2025,4614,2025-06-26,650263.15
2025,4142,2025-06-18,9909.14
2025,4257,2025-06-25,3337.37
2025,4332,2025-06-26,10436.3
2025,4873,2025-07-10,37560.04
2025,4941,2025-07-16,7820.49
2025,4740,2025-07-09,6339.96
2025,5076,2025-07-24,8805.74
2025,5083,2025-07-25,4266.78
2025,4900,2025-07-14,6121.84
2025,4902,2025-07-14,3533.67
2025,4780,2025-07-10,25456.65
2025,4726,2025-07-08,266515.14
2025,4721,2025-07-08,3812.48
2025,4728,2025-07-08,364.91
2025,5324,2025-07-30,114518.87
2025,5325,2025-07-30,28861.52
2025,5075,2025-07-24,517.86
2025,4729,2025-07-08,364.91
2025,4727,2025-07-08,364.91
2025,4738,2025-07-09,3887.99
2025,4901,2025-07-14,628.49
2025,5236,2025-07-30,34971.15
2025,5073,2025-07-24,4959.12
2025,4756,2025-07-10,57188.74
2025,5326,2025-07-30,650263.15
2025,4957,2025-07-16,88784.85
2025,5252,2025-07-30,50913.3
2025,4751,2025-07-10,17485.57
2025,5005,2025-07-21,654.68
2025,4720,2025-07-08,2396.08
2025,5050,2025-07-23,19714.6
2025,4646,2025-07-01,511240.45
2025,4766,2025-07-10,110375
2025,5235,2025-07-30,227476.97
2025,4731,2025-07-08,200.25
2025,4763,2025-07-10,14380.36
2025,4983,2025-07-18,112906.15
2025,4730,2025-07-08,226.01
2025,4778,2025-07-10,322279.36
2025,5074,2025-07-24,34752.94
2025,5084,2025-07-25,1284.84
2025,4939,2025-07-15,4007.11
2025,5951,2025-08-28,114518.87
2025,5560,2025-08-18,69123.77
2025,5602,2025-08-21,7050.82
2025,5901,2025-08-28,34971.15
2025,5559,2025-08-18,877.19
2025,5538,2025-08-14,4065.87
2025,5400,2025-08-05,398214.72
2025,5851,2025-08-28,227476.97
2025,5468,2025-08-11,1227.54
2025,5471,2025-08-11,27922.75
2025,5597,2025-08-20,877.19
2025,5788,2025-08-28,22268.98
2025,5599,2025-08-20,43524.92
2025,5664,2025-08-21,924.52
