anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1075,2024-01-30,116632.72
2024,887,2024-01-30,4599.94
2024,1002,2024-01-30,14053.56
2024,1548,2024-02-28,1100.41
2024,1587,2024-02-28,4010.1
2024,1677,2024-02-28,129998.3
2024,2339,2024-03-27,135678.42
2024,2348,2024-03-27,1338.42
2024,2281,2024-03-27,8734.19
2024,2222,2024-03-27,6875.31
2024,3112,2024-04-29,4712.47
2024,2684,2024-04-15,91398.16
2024,3021,2024-04-29,3105.12
2024,3108,2024-04-29,128199.05
2024,3745,2024-05-29,141121.9
2024,3977,2024-06-10,3252.25
2024,4492,2024-06-27,141581.03
2024,4410,2024-06-27,1911.52
2024,4396,2024-06-27,36128.13
2024,4652,2024-07-03,61078.83
2024,4865,2024-07-15,1060.06
2024,5211,2024-07-31,133292.09
2024,4875,2024-07-15,22693.33
2024,5475,2024-08-08,2183.63
2024,6063,2024-08-29,5017.18
2024,6025,2024-08-29,121276.89
2024,5948,2024-08-29,33502.59
2024,5917,2024-08-29,3875.94
2024,6603,2024-09-27,2377.07
2024,6658,2024-09-27,6496.45
2024,6751,2024-09-27,155549.13
2024,6628,2024-09-27,9754.57
2024,7393,2024-10-30,1488.94
2024,7257,2024-10-30,4929.54
2024,7291,2024-10-30,9840.3
2024,7289,2024-10-30,713.12
2024,7410,2024-10-30,182388.27
2024,8080,2024-11-28,164964.42
2024,8150,2024-11-28,4290.48
2024,8115,2024-11-28,13963.42
2024,7662,2024-11-13,1943.44
2024,7664,2024-11-13,7240.4
2024,7998,2024-11-28,5882.81
2024,8690,2024-12-19,2899.5
2024,8574,2024-12-19,1550.54
2024,8255,2024-12-05,75930.37
2024,8753,2024-12-19,212393.76
2024,8800,2024-12-30,4135.81
2024,8682,2024-12-19,138624.38
