anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,799,2026-01-29,121.04
2026,311,2026-01-16,1715.78
2026,643,2026-01-28,4448
2026,32,2026-01-02,70000
2026,869,2026-01-30,6421.22
2026,654,2026-01-28,3289.95
2026,107,2026-01-05,13636.36
2026,361,2026-01-19,5041.08
2026,39,2026-01-02,30000
2026,1027,2026-02-05,1999.9
2026,1576,2026-02-26,95.52
2026,928,2026-02-04,60
2026,1378,2026-02-23,647.22
2026,1138,2026-02-10,60
2026,1376,2026-02-23,6572.78
2026,1377,2026-02-23,4127.04
2026,1139,2026-02-10,60
2026,1123,2026-02-09,60
2026,945,2026-02-05,60
2026,1122,2026-02-09,60
2026,1422,2026-02-25,60
2026,1375,2026-02-23,4428
2026,1109,2026-02-06,60
2026,1423,2026-02-25,60
2026,944,2026-02-05,60
2026,1110,2026-02-06,60
2026,1421,2026-02-25,60
2026,929,2026-02-04,60
2026,2092,2026-03-27,60
2026,1877,2026-03-18,60
2026,1827,2026-03-13,60
2026,2059,2026-03-25,60
2026,1985,2026-03-20,456
2026,1826,2026-03-13,60
2026,2089,2026-03-27,60
2026,2005,2026-03-23,4539.35
2026,1990,2026-03-20,4503
2026,2190,2026-03-30,70
2026,2074,2026-03-26,60
2026,1879,2026-03-18,60
2026,2062,2026-03-25,60
2026,2060,2026-03-25,60
2026,2091,2026-03-27,60
2026,2025,2026-03-23,6363.64
2026,1878,2026-03-18,60
2026,2075,2026-03-26,60
2026,1825,2026-03-13,60
2026,1818,2026-03-13,3549
2026,2076,2026-03-26,60
2026,2090,2026-03-27,60
2026,2061,2026-03-25,60
2026,2294,2026-04-07,60
2026,2364,2026-04-10,60
2026,2363,2026-04-10,60
2026,2362,2026-04-10,60
2026,2295,2026-04-07,60
2026,2296,2026-04-07,60
