anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,223,2026-01-02,1663883.31
2026,211,2026-01-02,1210258
2026,208,2026-01-02,218000
2026,209,2026-01-02,502692.92
2026,219,2026-01-02,639870
2026,213,2026-01-02,1854488.04
2026,215,2026-01-02,187798.68
2026,218,2026-01-02,566600
2026,217,2026-01-02,973599.98
2026,216,2026-01-02,620362.12
2026,214,2026-01-02,76547.06
2026,2707,2026-04-09,140849.01
2026,2706,2026-04-09,62605.06
2026,2708,2026-04-09,476163.16
2026,2709,2026-04-09,789013.62
2026,2710,2026-04-09,437119.09
2026,2711,2026-04-09,507852.5
