anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1823,2025-02-27,45944.71
2025,1680,2025-02-27,6385.25
2025,1779,2025-02-27,4656.76
2025,2482,2025-03-28,52124.88
2025,2475,2025-03-28,2044.75
2025,3093,2025-04-29,102834.24
2025,3098,2025-04-29,1567.3
2025,3660,2025-05-29,11659.42
2025,3775,2025-05-29,11010.67
2025,3784,2025-05-29,96064.23
2025,3790,2025-05-29,1648.8
2025,4558,2025-06-26,104218.97
2025,4607,2025-06-26,1648.8
2025,4347,2025-06-26,81.5
2025,4442,2025-06-26,3274.64
2025,4385,2025-06-26,4511
2025,5164,2025-07-30,1749.19
2025,5275,2025-07-30,100795.95
2025,4760,2025-07-10,52601.12
2025,5265,2025-07-30,6877.36
2025,5280,2025-07-30,1428.96
2025,5866,2025-08-28,1049.52
2025,5881,2025-08-28,1593.84
2025,5921,2025-08-28,109151.8
2025,6456,2025-09-29,2080.21
2025,6559,2025-09-29,1648.8
2025,6592,2025-09-29,2912.29
2025,6554,2025-09-29,105327.71
2025,7198,2025-10-30,106852.91
2025,7179,2025-10-30,3328.34
2025,7097,2025-10-30,1648.8
2025,7710,2025-11-27,1648.8
2025,7693,2025-11-27,109960.02
2025,8177,2025-12-18,1648.8
2025,7945,2025-12-10,55712.27
2025,8082,2025-12-18,23782.87
2025,8187,2025-12-18,109874.61
