anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,896,2025-01-30,22375.73
2025,1044,2025-01-30,222053.5
2025,1038,2025-01-30,78723.99
2025,933,2025-01-30,5964.44
2025,1077,2025-01-30,48942.71
2025,1671,2025-02-27,12356.71
2025,1765,2025-02-27,65668.77
2025,1809,2025-02-27,18411.13
2025,1773,2025-02-27,262711.37
2025,2344,2025-03-28,5737.73
2025,2450,2025-03-28,10619.12
2025,2442,2025-03-28,133200
2025,2498,2025-03-28,270485.29
2025,3075,2025-04-29,275515.29
2025,3074,2025-04-29,105354.36
2025,3153,2025-04-29,7809.64
2025,3024,2025-04-29,769
2025,3725,2025-05-29,2404.5
2025,3770,2025-05-29,82084.59
2025,3849,2025-05-29,2426.97
2025,3726,2025-05-29,30360.44
2025,3363,2025-05-12,66.85
2025,3771,2025-05-29,295605.23
2025,4359,2025-06-26,13924.88
2025,4586,2025-06-26,62904.33
2025,4525,2025-06-26,3263.15
2025,4407,2025-06-26,425.75
2025,4449,2025-06-26,21907.05
2025,4587,2025-06-26,294256.85
2025,5245,2025-07-30,268314.36
2025,4789,2025-07-10,140042.28
2025,5215,2025-07-30,24377.12
2025,5244,2025-07-30,86320.8
2025,5145,2025-07-30,18444.98
2025,5181,2025-07-30,15637.39
2025,5187,2025-07-30,8121.02
2025,5795,2025-08-28,1213.7
2025,5909,2025-08-28,127800
2025,5786,2025-08-28,2512.52
2025,5952,2025-08-28,264397.67
2025,5939,2025-08-28,26395.03
2025,6622,2025-09-29,13031.61
2025,6536,2025-09-29,94552.2
2025,6461,2025-09-29,17417.33
2025,6539,2025-09-29,283293.96
2025,7127,2025-10-30,22345.49
2025,7051,2025-10-30,1402.62
2025,6715,2025-10-10,22904.44
2025,7167,2025-10-30,272172.45
2025,7038,2025-10-30,9607.41
2025,7113,2025-10-30,37470.06
2025,7733,2025-11-27,35412.8
2025,7598,2025-11-27,3089.5
2025,7665,2025-11-27,283109.82
2025,7744,2025-11-27,16465.48
2025,8071,2025-12-18,30942.03
2025,8210,2025-12-18,13856.62
2025,7938,2025-12-10,151249.6
2025,8150,2025-12-18,331240.44
2025,8216,2025-12-18,63902.1
