anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1008,2023-01-30,32829.24
2023,965,2023-01-30,5077
2023,1526,2023-02-27,234.32
2023,1468,2023-02-27,351.48
2023,1553,2023-02-27,39647.45
2023,2187,2023-03-30,42399.52
2023,2740,2023-04-27,40446.73
2023,3518,2023-05-31,44562.44
2023,4284,2023-06-29,45155.38
2023,4925,2023-07-27,42534.48
2023,4854,2023-07-27,978.14
2023,4436,2023-07-06,21225.53
2023,4838,2023-07-27,1834.05
2023,4896,2023-07-27,3657.64
2023,5576,2023-08-30,39475.94
2023,6222,2023-09-28,41968.77
2023,6798,2023-10-27,35753.3
2023,6757,2023-10-27,3504.99
2023,7475,2023-11-29,36623.71
2023,7920,2023-12-21,1304.64
2023,7671,2023-12-07,19181.89
2023,8047,2023-12-22,36252.62
2023,8009,2023-12-22,1565.57
