anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,407,2025-01-02,678548
2025,448,2025-01-02,430820.15
2025,398,2025-01-02,16783.7
2025,397,2025-01-02,538988.97
2025,1213,2025-02-06,103.03
2025,1309,2025-02-13,103.03
2025,1544,2025-02-20,23398.44
2025,2220,2025-03-20,103.03
2025,2308,2025-03-26,103.03
2025,2648,2025-04-08,220750
2025,2909,2025-04-24,1398646.98
2025,2656,2025-04-08,227581
2025,3215,2025-05-05,103.03
2025,3276,2025-05-06,103.03
2025,4641,2025-06-30,103.03
2025,4090,2025-06-17,105457.98
2025,4043,2025-06-12,103.03
2025,4681,2025-07-03,92600
2025,5085,2025-07-25,103.03
2025,5031,2025-07-23,107500
2025,4680,2025-07-03,172410
2025,5404,2025-08-05,53750
2025,5434,2025-08-07,241999.8
2025,6354,2025-09-22,103.03
2025,6243,2025-09-15,300000
2025,7010,2025-10-29,46450
2025,6720,2025-10-10,103.03
2025,6721,2025-10-10,103.03
2025,7566,2025-11-26,37842
2025,7467,2025-11-17,103.03
