anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,462,2024-01-30,50689.36
2024,624,2024-01-30,681724.97
2024,683,2024-01-30,5956.89
2024,1129,2024-02-28,1313.69
2024,1124,2024-02-28,416.97
2024,1125,2024-02-28,27850.06
2024,1109,2024-02-28,3088.75
2024,1099,2024-02-28,1346345.8
2024,1020,2024-02-28,45347.32
2024,1086,2024-02-28,121865.83
2024,1477,2024-03-27,13275.52
2024,1493,2024-03-27,187.33
2024,1547,2024-03-27,1302301.17
2024,1473,2024-03-27,990.39
2024,1533,2024-03-27,99144.62
2024,1195,2024-03-05,595.66
2024,1556,2024-03-27,3177
2024,1487,2024-03-27,1671.84
2024,1949,2024-04-29,16528.88
2024,1981,2024-04-29,3088.75
2024,2007,2024-04-29,34020.96
2024,1994,2024-04-29,1486105.89
2024,2487,2024-05-29,1526824.32
2024,2176,2024-05-09,16756.63
2024,2438,2024-05-29,61493.03
2024,2466,2024-05-29,2559.25
2024,2451,2024-05-29,11877.58
2024,2440,2024-05-29,5540.86
2024,2485,2024-05-29,43560.37
2024,2940,2024-06-27,51789.71
2024,2997,2024-06-27,2912.25
2024,2972,2024-06-27,16050.89
2024,2947,2024-06-27,1516229.23
2024,2921,2024-06-27,34603.76
2024,2767,2024-06-17,88.25
2024,2918,2024-06-27,11981.23
2024,2644,2024-06-10,441.25
2024,3471,2024-07-31,114832.68
2024,3075,2024-07-03,711516.69
2024,3458,2024-07-31,699221.62
2024,3418,2024-07-30,33444.42
2024,3406,2024-07-30,868.76
2024,3914,2024-08-29,5216.64
2024,3999,2024-08-29,3326.79
2024,3622,2024-08-08,507.1
2024,4002,2024-08-29,97035.15
2024,3910,2024-08-29,36755.73
2024,3638,2024-08-08,46749.26
2024,3644,2024-08-08,5043.82
2024,3915,2024-08-29,397.04
2024,3982,2024-08-29,759067.37
2024,4154,2024-09-09,603.32
2024,4155,2024-09-09,28.49
2024,4143,2024-09-09,164.57
2024,4401,2024-09-27,5434.7
2024,4432,2024-09-27,71190.34
2024,4153,2024-09-09,315.76
2024,4467,2024-09-27,1513947.21
2024,4588,2024-10-08,1065.77
2024,4889,2024-10-30,3125.69
2024,4879,2024-10-30,23987.9
2024,4948,2024-10-30,1490633.98
2024,4871,2024-10-30,530.7
2024,4930,2024-10-30,41626.47
2024,4886,2024-10-30,55405.44
2024,5325,2024-11-28,1543672.53
2024,5302,2024-11-28,62981.64
2024,5287,2024-11-28,1061.41
2024,5114,2024-11-13,17519.78
2024,5383,2024-11-28,13717.65
2024,5385,2024-11-28,31.35
2024,5349,2024-11-28,43167.86
2024,5695,2024-12-19,1371772.93
2024,5663,2024-12-19,138948.15
2024,5844,2024-12-31,1233.03
2024,5444,2024-12-05,781245.52
2024,5682,2024-12-19,9634.41
2024,5463,2024-12-05,6475.65
2024,5689,2024-12-19,147472.02
