anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,217,2024-01-02,79560
2024,584,2024-01-05,135102
2024,314,2024-01-03,300000
2024,545,2024-01-04,381000
2024,232,2024-01-02,91000
2024,120,2024-01-02,187800
2024,567,2024-01-04,1164946.28
2024,218,2024-01-02,10000
2024,160,2024-01-02,195495.75
2024,231,2024-01-02,68132
2024,297,2024-01-03,90972
2024,1117,2024-01-31,156.46
2024,206,2024-01-02,104000
2024,826,2024-01-25,98850
2024,227,2024-01-02,7530
2024,348,2024-01-03,30000
2024,581,2024-01-05,1405650
2024,358,2024-01-03,25000
2024,1113,2024-01-31,11587.5
2024,363,2024-01-03,300000
2024,342,2024-01-03,70000
2024,1114,2024-01-31,11587.5
2024,73,2024-01-02,165872.8
2024,1142,2024-02-05,472500
2024,1872,2024-03-06,33930
2024,1946,2024-03-11,78113.9
2024,1945,2024-03-11,66960
2024,2490,2024-04-03,17500
2024,2967,2024-04-25,95640
2024,2634,2024-04-11,488457
2024,2491,2024-04-03,17500
2024,2633,2024-04-11,121203.1
2024,3086,2024-04-29,16296.52
2024,3340,2024-05-08,19800
2024,3706,2024-05-29,6387.95
2024,3915,2024-06-06,27449.1
2024,4461,2024-06-27,9342.18
2024,3900,2024-06-05,17500
2024,3964,2024-06-10,167703
2024,3963,2024-06-10,164593.4
2024,3899,2024-06-05,17500
2024,5192,2024-07-31,6313.51
2024,5139,2024-07-30,10000
2024,5052,2024-07-25,131194.24
2024,4700,2024-07-03,7000
2024,5061,2024-07-25,77000
2024,5067,2024-07-25,18250
2024,4697,2024-07-03,7000
2024,4623,2024-07-02,7000
2024,5063,2024-07-25,34000
2024,4698,2024-07-03,14000
2024,5065,2024-07-25,11000
2024,5058,2024-07-25,44100
2024,4627,2024-07-02,14000
2024,5054,2024-07-25,12300
2024,4620,2024-07-02,14000
2024,4624,2024-07-02,7000
2024,5130,2024-07-30,17500
2024,5123,2024-07-30,60000
2024,5141,2024-07-30,16120
2024,4797,2024-07-10,99.64
2024,5129,2024-07-30,17500
2024,5984,2024-08-29,11442.69
2024,5345,2024-08-01,183000
2024,5688,2024-08-20,6762
2024,6776,2024-09-30,17500
2024,6313,2024-09-12,63000
2024,6777,2024-09-30,17500
2024,6645,2024-09-27,7965.08
2024,6874,2024-10-07,450000
2024,6917,2024-10-09,8820
2024,7229,2024-10-30,13350
2024,7149,2024-10-25,75000
2024,7323,2024-10-30,9708.28
2024,7540,2024-11-06,42000
2024,8008,2024-11-28,10996.29
2024,8603,2024-12-19,7860.29
2024,8288,2024-12-05,125000
