anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,335,2023-01-04,1327230
2023,1222,2023-02-10,520450.82
2023,1233,2023-02-10,34461.68
2023,1231,2023-02-10,105486.24
2023,1355,2023-02-20,208481.16
2023,1234,2023-02-10,72209.76
2023,1356,2023-02-20,12899.89
2023,1357,2023-02-20,68711.81
2023,1230,2023-02-10,195275.88
2023,1232,2023-02-10,9618.4
2023,1221,2023-02-10,45057.52
2023,2039,2023-03-28,443338.85
2023,2037,2023-03-28,770662.19
2023,2038,2023-03-28,2900000
2023,2035,2023-03-28,813011.78
2023,2036,2023-03-28,1500000
2023,2480,2023-04-17,181546.24
2023,2477,2023-04-17,315210.9
2023,2478,2023-04-17,97793.11
2023,2488,2023-04-17,1532.6
2023,2479,2023-04-17,299848.36
2023,2472,2023-04-14,152876.73
2023,2476,2023-04-17,85361.87
2023,2490,2023-04-17,11287.6
2023,2483,2023-04-17,10986.12
2023,2482,2023-04-17,24379.08
2023,2475,2023-04-17,116266.68
2023,2573,2023-04-20,593868.13
2023,2473,2023-04-17,28811.38
2023,2878,2023-05-04,17801.16
2023,2877,2023-05-04,1749.06
2023,2874,2023-05-04,4230.28
2023,2879,2023-05-04,141913.38
2023,2873,2023-05-04,99338.22
2023,2876,2023-05-04,260949.84
2023,2881,2023-05-04,83650
2023,3684,2023-06-07,12868.66
2023,3690,2023-06-07,2200.51
2023,3685,2023-06-07,239377.74
2023,3682,2023-06-07,83477.1
2023,3681,2023-06-07,199628.64
2023,3686,2023-06-07,1137.63
2023,3689,2023-06-07,3484.8
2023,4143,2023-06-28,1516.68
2023,3688,2023-06-07,20885.29
2023,3687,2023-06-07,11187.8
2023,3732,2023-06-09,102916.19
2023,4961,2023-07-28,5207.84
2023,4510,2023-07-07,32052.1
2023,4956,2023-07-28,16267.38
2023,4504,2023-07-07,133993.56
2023,4509,2023-07-07,92814.55
2023,4958,2023-07-28,93050.43
2023,4508,2023-07-07,259925.14
2023,4507,2023-07-07,17133.37
2023,4960,2023-07-28,13989.6
2023,4954,2023-07-28,112841.15
2023,4959,2023-07-28,3732
2023,4513,2023-07-07,6639.1
2023,4505,2023-07-07,111500.71
2023,4953,2023-07-28,250252.36
2023,4506,2023-07-07,20415.68
2023,4955,2023-07-28,16686.4
2023,4512,2023-07-07,3194.4
2023,4957,2023-07-28,4972.3
2023,5467,2023-08-29,23115.23
2023,5489,2023-08-30,263349.71
2023,5126,2023-08-07,325677.18
2023,5702,2023-09-06,210203.76
2023,5697,2023-09-06,15697.1
2023,5701,2023-09-06,131866.44
2023,5695,2023-09-06,3588
2023,5698,2023-09-06,238757.76
2023,5699,2023-09-06,16113.7
2023,5696,2023-09-06,78948.89
2023,5700,2023-09-06,17542.38
2023,5694,2023-09-06,6040.32
2023,6696,2023-10-27,260181.14
2023,6698,2023-10-27,133010.26
2023,6433,2023-10-10,237656.96
2023,6432,2023-10-10,68404.8
2023,6691,2023-10-27,4936.8
2023,6422,2023-10-09,3872
2023,6699,2023-10-27,132567.36
2023,6695,2023-10-27,13054.33
2023,6693,2023-10-27,62986.86
2023,6694,2023-10-27,8312.7
2023,6611,2023-10-23,12204
2023,6430,2023-10-10,9452.64
2023,6428,2023-10-10,69507.83
2023,6431,2023-10-10,13448
2023,6697,2023-10-27,17859.48
2023,6425,2023-10-10,248750.01
2023,6692,2023-10-27,10177.2
