anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,246,2026-01-15,20269.08
2026,671,2026-01-28,2100000
2026,867,2026-01-30,6421.22
2026,299,2026-01-16,191075.5
2026,669,2026-01-28,408242.16
2026,632,2026-01-28,4448
2026,668,2026-01-28,6260186.76
2026,670,2026-01-28,1164585.24
2026,514,2026-01-21,5531640.17
2026,108,2026-01-05,63636.36
2026,251,2026-01-15,20955.64
2026,247,2026-01-15,27709
2026,599,2026-01-26,8311332.36
2026,252,2026-01-15,17020.66
2026,598,2026-01-26,1644000
2026,652,2026-01-28,3759.94
2026,250,2026-01-15,19770.43
2026,248,2026-01-15,32327.75
2026,672,2026-01-28,1500000
2026,480,2026-01-21,6300
2026,358,2026-01-19,2500
2026,1196,2026-02-12,413.8
2026,1013,2026-02-05,1999.9
2026,1059,2026-02-05,10980.9
2026,1335,2026-02-23,4428
2026,1088,2026-02-06,551.25
2026,1101,2026-02-06,1198.75
2026,1371,2026-02-23,6279.78
2026,1082,2026-02-06,400
2026,1983,2026-03-20,456
2026,2028,2026-03-23,22607.22
2026,1782,2026-03-12,19396.65
2026,2012,2026-03-23,4539.35
2026,2019,2026-03-23,6363.64
2026,1966,2026-03-20,4503
2026,1816,2026-03-13,10647
2026,2205,2026-03-30,8037332.36
2026,1644,2026-03-03,454
2026,1781,2026-03-12,21243.95
2026,2204,2026-03-30,258778.1
2026,1796,2026-03-13,1468.94
2026,2321,2026-04-08,19678.57
2026,2390,2026-04-13,4550
2026,2261,2026-04-02,1521
2026,2411,2026-04-15,20320.3
2026,2412,2026-04-15,20320.3
