anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,965,2024-01-30,200
2024,640,2024-01-09,104498.4
2024,505,2024-01-04,96251.41
2024,2048,2024-03-14,1670.7
2024,1834,2024-03-05,522589.4
2024,2672,2024-04-15,695.83
2024,2834,2024-04-22,341448.73
2024,4268,2024-06-24,303283.7
2024,4039,2024-06-13,159625.68
2024,4040,2024-06-13,285631
2024,4795,2024-07-10,99.64
2024,4977,2024-07-19,30084.28
2024,4976,2024-07-19,99.64
2024,6505,2024-09-23,99.64
2024,6929,2024-10-10,99.64
2024,7557,2024-11-07,22271.41
2024,8292,2024-12-05,1461.57
