anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,323,2023-01-03,25408.85
2023,88,2023-01-02,7200000
2023,435,2023-01-09,1000000
2023,211,2023-01-02,234385.16
2023,434,2023-01-09,100000
2023,322,2023-01-03,150615.92
2023,3244,2023-05-22,382464
2023,3033,2023-05-10,10091.81
2023,3640,2023-06-05,1000000
2023,4008,2023-06-21,159085.82
2023,6256,2023-09-28,1765000
2023,7357,2023-11-28,79.79
2023,7360,2023-11-28,79.79
2023,7359,2023-11-28,79.79
2023,7358,2023-11-28,79.79
2023,8074,2023-12-22,70.78
2023,8070,2023-12-22,593.48
2023,8099,2023-12-29,1091897.33
2023,8073,2023-12-22,3576.09
2023,8064,2023-12-22,5840.9
2023,8063,2023-12-22,4057.71
2023,8069,2023-12-22,5693.5
2023,8065,2023-12-22,2.75
2023,8071,2023-12-22,307.16
2023,8072,2023-12-22,6538.3
2023,8075,2023-12-22,8188.84
2023,8066,2023-12-22,7479.41
2023,7790,2023-12-18,30000
2023,8068,2023-12-22,6870.67
2023,8067,2023-12-22,33662.61
