anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,933,2023-01-30,27698.19
2023,1512,2023-02-27,31222.99
2023,2125,2023-03-30,872.61
2023,2142,2023-03-30,33297.2
2023,2155,2023-03-30,9252.83
2023,2674,2023-04-27,32900.11
2023,2735,2023-04-27,852.15
2023,2697,2023-04-27,10826.76
2023,3450,2023-05-31,34650.1
2023,4248,2023-06-29,5336.81
2023,4218,2023-06-29,1280.54
2023,4235,2023-06-29,34307.65
2023,4244,2023-06-29,4760.25
2023,4932,2023-07-27,33789.64
2023,4449,2023-07-06,14826.44
2023,4890,2023-07-27,1176.71
2023,4863,2023-07-27,917.02
2023,6167,2023-09-28,35934.55
2023,6729,2023-10-27,39978.63
2023,7418,2023-11-29,40526.4
2023,7684,2023-12-07,16437.57
2023,7976,2023-12-22,40685.35
