anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,591,2025-01-14,814222.49
2025,590,2025-01-14,516432.37
2025,592,2025-01-14,27393.77
2025,1422,2025-02-14,937.5
2025,1569,2025-02-24,251487.6
2025,1568,2025-02-24,27393.77
2025,1567,2025-02-24,814222.49
2025,1419,2025-02-14,192148.79
2025,1431,2025-02-17,17657.48
2025,1566,2025-02-24,516432.37
2025,1270,2025-02-10,251487.6
2025,1420,2025-02-14,1269.64
2025,1421,2025-02-14,51490
2025,1423,2025-02-14,20990.84
2025,1570,2025-02-24,17657.48
2025,1338,2025-02-13,34433.76
2025,2280,2025-03-25,153229.97
2025,2310,2025-03-27,47013.88
2025,2016,2025-03-06,21852.04
2025,2279,2025-03-25,450255.3
2025,2281,2025-03-25,1425200.2
2025,2096,2025-03-12,130000
2025,2858,2025-04-17,2020
2025,2696,2025-04-09,270000
2025,2618,2025-04-04,1111537.88
2025,2857,2025-04-17,98243.49
2025,3608,2025-05-27,40397.22
2025,3614,2025-05-27,1848.88
2025,3620,2025-05-27,12316.39
2025,3603,2025-05-27,125983.06
2025,3610,2025-05-27,108.57
2025,3606,2025-05-27,10383.23
2025,3293,2025-05-07,814576.98
2025,3294,2025-05-07,2432674.5
2025,3612,2025-05-27,8046.03
2025,3605,2025-05-27,15877.87
2025,3613,2025-05-27,2794.84
2025,3307,2025-05-08,267344.96
2025,3615,2025-05-27,1160
2025,3604,2025-05-27,3148.11
2025,3611,2025-05-27,2527.25
2025,3616,2025-05-27,1955.36
2025,3609,2025-05-27,118.8
2025,3607,2025-05-27,1297.12
2025,3619,2025-05-27,88509.59
2025,4133,2025-06-18,174
2025,4127,2025-06-18,19371.43
2025,3911,2025-06-03,20920.7
2025,4131,2025-06-18,19604.84
2025,4621,2025-06-26,130823.02
2025,3910,2025-06-03,24721.11
2025,4132,2025-06-18,18948.13
2025,4620,2025-06-26,1000000
2025,4128,2025-06-18,30687.01
2025,4130,2025-06-18,65365.17
2025,4122,2025-06-18,39638.02
2025,4135,2025-06-18,634.37
2025,4124,2025-06-18,11444.6
2025,4164,2025-06-23,139792.24
2025,4123,2025-06-18,17557.84
2025,4619,2025-06-26,575983.28
2025,4125,2025-06-18,1860.63
2025,4671,2025-07-03,284286.84
2025,4871,2025-07-10,13481.65
2025,4867,2025-07-10,25788.17
2025,4866,2025-07-10,42140.19
2025,4868,2025-07-10,18.36
2025,4670,2025-07-03,140411.6
2025,4862,2025-07-10,53125.73
2025,4863,2025-07-10,869.82
2025,4993,2025-07-21,8880.44
2025,4865,2025-07-10,2218.3
2025,4870,2025-07-10,1559.06
2025,4806,2025-07-10,192000.54
2025,4864,2025-07-10,6462.47
2025,4869,2025-07-10,1651.96
2025,5588,2025-08-20,210543.13
2025,5585,2025-08-20,117440.3
2025,5580,2025-08-20,1265408.72
2025,5581,2025-08-20,1120000
2025,5579,2025-08-20,250000
2025,5589,2025-08-20,184027.77
2025,5542,2025-08-15,350000
2025,5582,2025-08-20,2296448.7
2025,5587,2025-08-20,210794.72
2025,5594,2025-08-20,139360
2025,5590,2025-08-20,53040
2025,5595,2025-08-20,82474.3
2025,5586,2025-08-20,105392.45
2025,6198,2025-09-11,118982.5
2025,6189,2025-09-11,264317.5
2025,6195,2025-09-11,38155
2025,6196,2025-09-11,314247.36
2025,6190,2025-09-11,236657.38
2025,6194,2025-09-11,151462.51
2025,6193,2025-09-11,30531
2025,6197,2025-09-11,107680.7
2025,6192,2025-09-11,780
2025,6191,2025-09-11,179484.41
2025,6813,2025-10-14,11635
2025,6809,2025-10-14,67578.85
2025,6812,2025-10-14,167428.75
2025,6810,2025-10-14,65212.5
2025,6815,2025-10-14,224957.4
2025,6814,2025-10-14,160739.97
2025,6791,2025-10-13,1760
2025,6816,2025-10-14,20820
2025,6811,2025-10-14,208768.7
2025,7302,2025-11-05,3900
2025,7388,2025-11-11,79231.18
2025,7383,2025-11-11,85879.24
2025,7390,2025-11-11,46568.1
2025,7384,2025-11-11,25185.32
2025,7385,2025-11-11,84750.55
2025,7387,2025-11-11,9810
2025,7389,2025-11-11,20020
2025,7391,2025-11-11,6702.2
2025,7464,2025-11-17,278000
2025,7386,2025-11-11,35891.95
2025,7392,2025-11-11,121972.5
