anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,493,2023-01-13,5000000
2023,133,2023-01-02,406821.51
2023,377,2023-01-05,14562.33
2023,145,2023-01-02,29115.8
2023,386,2023-01-05,1708630
2023,132,2023-01-02,87859.89
2023,382,2023-01-05,12450
2023,252,2023-01-02,115704.58
2023,491,2023-01-13,5733000
2023,379,2023-01-05,23365.45
2023,383,2023-01-05,45640
2023,228,2023-01-02,29115.8
2023,294,2023-01-03,19426.08
2023,251,2023-01-02,50596.09
2023,1642,2023-03-06,78485
2023,1641,2023-03-06,130000
2023,2960,2023-05-08,6590
2023,3371,2023-05-26,1519.65
2023,3224,2023-05-22,486696.13
2023,4783,2023-07-24,532312.78
2023,5469,2023-08-29,23413.1
2023,5302,2023-08-16,5000000
2023,5154,2023-08-08,411073.78
2023,5156,2023-08-08,183990.9
2023,5157,2023-08-08,55737
2023,5155,2023-08-08,74039.93
2023,6097,2023-09-27,601306.38
2023,5888,2023-09-14,96117.85
2023,6635,2023-10-24,131349.6
2023,6837,2023-10-31,80000
2023,7004,2023-11-10,23751.95
2023,7003,2023-11-10,551370.97
2023,7294,2023-11-23,162918.45
2023,7582,2023-12-01,131349.6
2023,7724,2023-12-12,13264.56
2023,7703,2023-12-08,170379.23
