anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,208,2026-01-14,120
2026,48,2026-01-02,120
2026,41,2026-01-02,85000
2026,50,2026-01-02,120
2026,137,2026-01-07,60
2026,433,2026-01-20,120
2026,267,2026-01-16,60
2026,277,2026-01-16,60
2026,186,2026-01-13,120
2026,12,2026-01-02,1000
2026,715,2026-01-29,236.69
2026,237,2026-01-15,120
2026,802,2026-01-29,48809.59
2026,804,2026-01-29,125947.45
2026,206,2026-01-14,120
2026,826,2026-01-29,1014.39
2026,828,2026-01-29,4104.47
2026,819,2026-01-29,839.7
2026,333,2026-01-19,1288.56
2026,3,2026-01-02,2000
2026,437,2026-01-20,40000
2026,240,2026-01-15,120
2026,274,2026-01-16,120
2026,348,2026-01-19,30640.07
2026,83,2026-01-05,120
2026,171,2026-01-12,120
2026,254,2026-01-15,1079660
2026,131,2026-01-07,120
2026,812,2026-01-29,1372.56
2026,271,2026-01-16,120
2026,268,2026-01-16,60
2026,566,2026-01-23,40200
2026,185,2026-01-13,120
2026,170,2026-01-12,120
2026,344,2026-01-19,15911.6
2026,441,2026-01-20,28026
2026,329,2026-01-19,120
2026,448,2026-01-20,40000
2026,328,2026-01-19,120
2026,453,2026-01-20,13919.27
2026,5,2026-01-02,2000
2026,160,2026-01-09,120
2026,861,2026-01-30,49.28
2026,141,2026-01-08,120
2026,442,2026-01-20,30000
2026,156,2026-01-08,47480.15
2026,81,2026-01-05,120
2026,322,2026-01-19,120
2026,327,2026-01-19,120
2026,426,2026-01-20,120
2026,434,2026-01-20,120
2026,711,2026-01-29,1216.71
2026,129,2026-01-07,120
2026,219,2026-01-14,20000
2026,429,2026-01-20,120
2026,786,2026-01-29,3128.19
2026,790,2026-01-29,16732.45
2026,829,2026-01-29,12175.14
2026,13,2026-01-02,1000
2026,168,2026-01-12,120
2026,674,2026-01-28,22000
2026,729,2026-01-29,3161.33
2026,797,2026-01-29,8774.46
2026,417,2026-01-19,5000
2026,18,2026-01-02,1000
2026,823,2026-01-29,30549.01
2026,70,2026-01-02,92851
2026,432,2026-01-20,60
2026,47,2026-01-02,120
2026,14,2026-01-02,1000
2026,126,2026-01-05,861062.42
2026,396,2026-01-19,16918.11
2026,145,2026-01-08,60
2026,51,2026-01-02,60
2026,796,2026-01-29,2925.38
2026,447,2026-01-20,22634.96
2026,19,2026-01-02,1000
2026,428,2026-01-20,120
2026,92,2026-01-05,60
2026,176,2026-01-12,87322.79
2026,130,2026-01-07,120
2026,386,2026-01-19,3904.88
2026,803,2026-01-29,14706.2
2026,427,2026-01-20,60
2026,326,2026-01-19,120
2026,182,2026-01-12,47496.3
2026,172,2026-01-12,120
2026,721,2026-01-29,522.83
2026,163,2026-01-09,60
2026,140,2026-01-08,120
2026,15,2026-01-02,1000
2026,718,2026-01-29,45.08
2026,1,2026-01-02,80000
2026,22,2026-01-02,1000
2026,436,2026-01-20,86692.46
2026,457,2026-01-20,52643.82
2026,272,2026-01-16,120
2026,86,2026-01-05,120
2026,98,2026-01-05,113636.36
2026,383,2026-01-19,38926.65
2026,363,2026-01-19,6000
2026,121,2026-01-05,34.79
2026,58,2026-01-02,330000
2026,133,2026-01-07,120
2026,675,2026-01-28,32000
2026,91,2026-01-05,60
2026,430,2026-01-20,60
2026,821,2026-01-29,217142.97
2026,159,2026-01-09,120
2026,834,2026-01-29,1199.09
2026,66,2026-01-02,27123.05
2026,211,2026-01-14,120
2026,169,2026-01-12,120
2026,123,2026-01-05,39150
2026,17,2026-01-02,1000
2026,155,2026-01-08,263304.74
2026,238,2026-01-15,120
2026,180,2026-01-12,200138.34
2026,255,2026-01-15,4507.07
2026,209,2026-01-14,120
2026,827,2026-01-29,11640.22
2026,127,2026-01-05,70129.93
2026,357,2026-01-19,39077.64
2026,80,2026-01-02,29442.45
2026,270,2026-01-16,120
2026,52,2026-01-02,60
2026,149,2026-01-08,56219.19
2026,269,2026-01-16,60
2026,142,2026-01-08,120
2026,454,2026-01-20,6250
2026,276,2026-01-16,120
2026,16,2026-01-02,1000
2026,88,2026-01-05,60
2026,439,2026-01-20,13327.31
2026,830,2026-01-29,64561.84
2026,82,2026-01-05,120
2026,431,2026-01-20,120
2026,89,2026-01-05,60
2026,42,2026-01-02,120000
2026,210,2026-01-14,120
2026,266,2026-01-16,120
2026,161,2026-01-09,120
2026,325,2026-01-19,60
2026,93,2026-01-05,60
2026,144,2026-01-08,60
2026,840,2026-01-29,11086.32
2026,122,2026-01-05,7500
2026,173,2026-01-12,120
2026,241,2026-01-15,120
2026,67,2026-01-02,18447.6
2026,134,2026-01-07,60
2026,362,2026-01-19,37674.33
2026,239,2026-01-15,120
2026,84,2026-01-05,120
2026,341,2026-01-19,102898.35
2026,79,2026-01-02,20000
2026,162,2026-01-09,60
2026,146,2026-01-08,60
2026,273,2026-01-16,120
2026,189,2026-01-13,120
2026,31,2026-01-02,50000
2026,132,2026-01-07,120
2026,164,2026-01-09,60
2026,139,2026-01-08,120
2026,43,2026-01-02,1000
2026,2,2026-01-02,20000
2026,21,2026-01-02,1000
2026,187,2026-01-13,120
2026,120,2026-01-05,5000
2026,425,2026-01-19,5070.35
2026,207,2026-01-14,120
2026,435,2026-01-20,258
2026,38,2026-01-02,20000
2026,644,2026-01-28,5169.9
2026,8,2026-01-02,1000
2026,20,2026-01-02,1000
2026,188,2026-01-13,120
2026,7,2026-01-02,1000
2026,275,2026-01-16,120
2026,323,2026-01-19,120
2026,258,2026-01-15,440075.74
2026,152,2026-01-08,134520
2026,147,2026-01-08,60
2026,624,2026-01-28,6672
2026,94,2026-01-05,60
2026,175,2026-01-12,80000
2026,347,2026-01-19,44387.59
2026,458,2026-01-20,6728.47
2026,167,2026-01-12,120
2026,119,2026-01-05,28918.13
2026,49,2026-01-02,120
2026,4,2026-01-02,3000
2026,90,2026-01-05,60
2026,324,2026-01-19,60
2026,242,2026-01-15,60
2026,1405,2026-02-24,43.8
2026,1622,2026-02-27,43.8
2026,1403,2026-02-24,43.8
2026,885,2026-02-02,120
2026,1001,2026-02-05,3584
2026,941,2026-02-04,43.8
2026,1554,2026-02-26,16127.03
2026,1411,2026-02-24,162000
2026,1213,2026-02-12,186.97
2026,1466,2026-02-25,43.8
2026,1230,2026-02-13,43.8
2026,1002,2026-02-05,2320
2026,1496,2026-02-26,163.03
2026,1531,2026-02-26,63378
2026,998,2026-02-05,46015.67
2026,1542,2026-02-26,32864.8
2026,1508,2026-02-26,307.86
2026,1500,2026-02-26,701.08
2026,1340,2026-02-23,1996.98
2026,1559,2026-02-26,14724.62
2026,1530,2026-02-26,11386.06
2026,1076,2026-02-05,43.8
2026,990,2026-02-05,10000
2026,1560,2026-02-26,9089.52
2026,991,2026-02-05,22613.64
2026,1407,2026-02-24,43.8
2026,989,2026-02-05,43.8
2026,940,2026-02-04,43.8
2026,1188,2026-02-12,43.8
2026,1021,2026-02-05,5000
2026,1561,2026-02-26,1372.56
2026,1557,2026-02-26,48871.48
2026,1231,2026-02-13,43.8
2026,1460,2026-02-25,43.8
2026,1573,2026-02-26,2883.53
2026,1048,2026-02-05,56.2
2026,1464,2026-02-25,43.8
2026,939,2026-02-04,43.8
2026,1552,2026-02-26,2902.84
2026,1465,2026-02-25,43.8
2026,1155,2026-02-11,43.8
2026,1514,2026-02-26,331.13
2026,1404,2026-02-24,43.8
2026,1232,2026-02-13,43.8
2026,999,2026-02-05,9647.59
2026,1004,2026-02-05,2043.43
2026,1503,2026-02-26,910.29
2026,1156,2026-02-11,43.8
2026,1461,2026-02-25,43.8
2026,1463,2026-02-25,43.8
2026,1134,2026-02-10,43.8
2026,1495,2026-02-26,181.14
2026,1204,2026-02-12,4402.98
2026,1406,2026-02-24,43.8
2026,1596,2026-02-26,43.8
2026,1593,2026-02-26,43.8
2026,1621,2026-02-27,43.8
2026,1582,2026-02-26,125023.41
2026,1023,2026-02-05,8501.79
2026,1539,2026-02-26,214584.72
2026,1529,2026-02-26,4078.59
2026,1549,2026-02-26,11456.52
2026,1214,2026-02-12,186.97
2026,1165,2026-02-11,12354.99
2026,1462,2026-02-25,43.8
2026,886,2026-02-02,774
2026,1568,2026-02-26,811.53
2026,1003,2026-02-05,3517.26
2026,1328,2026-02-23,6642
2026,1121,2026-02-06,150
2026,1541,2026-02-26,186.38
2026,893,2026-02-02,240
2026,1502,2026-02-26,448.14
2026,1472,2026-02-25,43.8
2026,1189,2026-02-12,43.8
2026,1536,2026-02-26,1199.09
2026,1308,2026-02-20,68812.37
2026,1000,2026-02-05,6200
2026,1591,2026-02-26,11716.09
2026,1594,2026-02-26,43.8
2026,1080,2026-02-06,278.84
2026,1018,2026-02-05,11498.21
2026,1056,2026-02-05,135.3
2026,1005,2026-02-05,2999.85
2026,1590,2026-02-26,1183.46
2026,2179,2026-03-30,3585.73
2026,1972,2026-03-20,8696.25
2026,1949,2026-03-20,43.8
2026,1771,2026-03-12,108.39
2026,1989,2026-03-20,136.8
2026,2064,2026-03-25,43.8
2026,1786,2026-03-12,43.8
2026,2094,2026-03-27,55916.67
2026,2093,2026-03-27,31571.3
2026,2158,2026-03-30,212082.19
2026,1729,2026-03-09,69.71
2026,1652,2026-03-03,3400
2026,2115,2026-03-30,104.57
2026,2148,2026-03-30,1372.56
2026,2144,2026-03-30,124360.27
2026,1806,2026-03-13,126970.82
2026,2206,2026-03-30,43.8
2026,2173,2026-03-30,11866.58
2026,1971,2026-03-20,6754.5
2026,2176,2026-03-30,12542.68
2026,2170,2026-03-30,1183.46
2026,2106,2026-03-27,43.8
2026,1803,2026-03-13,913.9
2026,2054,2026-03-24,43.8
2026,2111,2026-03-30,16.91
2026,1884,2026-03-18,2874.75
2026,2180,2026-03-30,372.76
2026,2156,2026-03-30,12216.9
2026,2095,2026-03-27,3000
2026,2212,2026-03-31,281.77
2026,1890,2026-03-18,45.83
2026,1747,2026-03-10,43.8
2026,2101,2026-03-27,43.8
2026,2147,2026-03-30,9073.14
2026,1801,2026-03-13,43.8
2026,2132,2026-03-30,18053.16
2026,2157,2026-03-30,4029.64
2026,2210,2026-03-31,60
2026,2140,2026-03-30,50160.49
2026,1912,2026-03-18,3363.05
2026,2167,2026-03-30,1187.82
2026,1840,2026-03-16,108.39
2026,1891,2026-03-18,45.83
2026,1731,2026-03-09,466.81
2026,1785,2026-03-12,43.8
2026,2207,2026-03-31,108.39
2026,2172,2026-03-30,783.34
2026,2145,2026-03-30,15076.19
2026,2182,2026-03-30,31813.67
2026,1906,2026-03-18,1121.35
2026,2160,2026-03-30,61913.87
2026,1748,2026-03-10,43.8
2026,2193,2026-03-30,2767.59
2026,1710,2026-03-06,269178.86
2026,1736,2026-03-09,50000
2026,1907,2026-03-18,771.3
2026,1953,2026-03-20,914.28
2026,2107,2026-03-27,43.8
2026,2108,2026-03-30,473.38
2026,1636,2026-03-03,53860.78
2026,2418,2026-04-16,120
2026,2384,2026-04-13,21400
2026,2268,2026-04-02,60
2026,2350,2026-04-09,43.8
2026,2282,2026-04-06,193.6
2026,2385,2026-04-13,2700
2026,2283,2026-04-06,5393.44
2026,2383,2026-04-13,37199.6
2026,2437,2026-04-17,751.49
2026,2394,2026-04-13,43.8
2026,2225,2026-04-01,108.39
2026,2417,2026-04-16,120
2026,2399,2026-04-14,120
2026,2367,2026-04-10,1032
2026,2379,2026-04-13,4910.1
2026,2371,2026-04-10,43.8
2026,2312,2026-04-08,47257.29
2026,2302,2026-04-07,43.8
2026,2378,2026-04-13,2190
2026,2344,2026-04-08,43.8
2026,2286,2026-04-06,13389.99
2026,2381,2026-04-13,20591.35
2026,2366,2026-04-10,43.8
2026,2284,2026-04-06,588.06
2026,2380,2026-04-13,666.88
2026,2224,2026-04-01,108.39
2026,2280,2026-04-06,2300
2026,2393,2026-04-13,43.8
2026,2435,2026-04-17,127200
2026,2287,2026-04-06,67456.4
2026,2438,2026-04-17,27994.34
2026,2285,2026-04-06,590
2026,2382,2026-04-13,118.3
2026,2281,2026-04-06,7200
