anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1046,2023-03-02,166049.45
2023,1048,2023-03-02,1233.32
2023,1044,2023-03-02,100
2023,1049,2023-03-02,6025.28
2023,1050,2023-03-02,1000
2023,1047,2023-03-02,27890.68
2023,1045,2023-03-02,182554.08
2023,2074,2023-05-23,2623.17
2023,2069,2023-05-23,160422.99
2023,2073,2023-05-23,5124.53
2023,2072,2023-05-23,4891.64
2023,1819,2023-05-02,1202.13
2023,1821,2023-05-02,615.83
2023,2071,2023-05-23,2319.25
2023,1822,2023-05-02,543.24
2023,2070,2023-05-23,33174.72
2023,2068,2023-05-23,220944.59
2023,3673,2023-09-25,1328.07
2023,3674,2023-09-25,1309.18
2023,3667,2023-09-25,194280.36
2023,3761,2023-09-28,7342.29
2023,3675,2023-09-25,4180.78
2023,3672,2023-09-25,37240.85
2023,3668,2023-09-25,923.2
2023,3676,2023-09-25,119.13
2023,3741,2023-09-28,122.56
2023,3759,2023-09-28,30056.59
2023,3734,2023-09-28,116.56
2023,3749,2023-09-28,41225
2023,3669,2023-09-25,1064.98
2023,3727,2023-09-28,646.84
2023,3735,2023-09-28,159.5
2023,3762,2023-09-28,179.96
2023,3671,2023-09-25,177530.69
2023,3763,2023-09-28,763.03
2023,3670,2023-09-25,780.49
