anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,452,2024-01-30,1613.67
2024,643,2024-01-30,2538.32
2024,1071,2024-02-28,1119.81
2024,1063,2024-02-28,1607.6
2024,1518,2024-03-27,1934.22
2024,1540,2024-03-27,930.72
2024,2001,2024-04-29,2624.54
2024,2494,2024-05-29,2743.23
2024,2952,2024-06-27,2624.54
2024,3072,2024-07-03,1322.16
2024,3526,2024-07-31,2410.48
2024,3522,2024-07-31,91.03
2024,3465,2024-07-31,37282.79
2024,3641,2024-08-08,1234.12
2024,3923,2024-08-29,5.22
2024,3990,2024-08-29,57819.08
2024,3928,2024-08-29,884.97
2024,4437,2024-09-27,65370.75
2024,4943,2024-10-30,70535.48
2024,5316,2024-11-28,70947.91
2024,5686,2024-12-19,66010.83
2024,5455,2024-12-05,27517.75
