anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,3,2024-01-05,500
2024,2,2024-01-05,3366.96
2024,1,2024-01-02,20435.95
2024,4,2024-05-13,416.91
2024,5,2024-05-13,25356.9
2024,53,2024-12-20,35500
2024,56,2024-12-20,35500
2024,45,2024-12-20,16500
2024,29,2024-12-20,30000
2024,24,2024-12-20,30000
2024,27,2024-12-20,30000
2024,20,2024-12-20,30000
2024,43,2024-12-20,16500
2024,23,2024-12-20,30000
2024,22,2024-12-20,30000
2024,6,2024-12-02,4226.15
2024,33,2024-12-20,16500
2024,12,2024-12-20,30000
2024,18,2024-12-20,30000
2024,25,2024-12-20,30000
2024,32,2024-12-20,16500
2024,38,2024-12-20,16500
2024,39,2024-12-20,16500
2024,26,2024-12-20,30000
2024,14,2024-12-20,30000
2024,19,2024-12-20,30000
2024,17,2024-12-20,30000
2024,34,2024-12-20,16500
2024,15,2024-12-20,30000
2024,13,2024-12-20,30000
2024,31,2024-12-20,16500
2024,30,2024-12-20,16500
2024,41,2024-12-20,16500
2024,57,2024-12-20,35500
2024,16,2024-12-20,30000
2024,55,2024-12-20,35500
2024,40,2024-12-20,16500
2024,46,2024-12-20,16500
2024,37,2024-12-20,16500
2024,21,2024-12-20,30000
2024,35,2024-12-20,16500
2024,44,2024-12-20,30000
2024,28,2024-12-20,30000
2024,36,2024-12-20,16500
2024,42,2024-12-20,16500
