anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,112,2023-01-02,4434612.48
2023,111,2023-01-02,1058880.36
2023,113,2023-01-02,1500000
2023,110,2023-01-02,408242.16
2023,114,2023-01-02,2100000
2023,1474,2023-04-06,340201.8
2023,2272,2023-06-06,1233000
2023,3223,2023-08-18,129965.82
2023,3911,2023-10-09,101601.5
2023,3912,2023-10-09,78510.25
2023,4206,2023-10-27,1134952.72
2023,4384,2023-11-13,22167.6
2023,4383,2023-11-13,13765.74
2023,4932,2023-12-21,23091.25
2023,5081,2023-12-29,24938.55
2023,5080,2023-12-29,26785.85
2023,4821,2023-12-08,26785.85
2023,4823,2023-12-08,21243.95
2023,4931,2023-12-21,16903.91
