anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,633,2026-01-28,889.6
2026,304,2026-01-16,9202.82
2026,413,2026-01-19,1000
2026,868,2026-01-30,1284.24
2026,653,2026-01-28,469.99
2026,101,2026-01-05,63636.36
2026,349,2026-01-19,2157.23
2026,1449,2026-02-25,160.98
2026,1580,2026-02-26,902.59
2026,1396,2026-02-24,1496
2026,1063,2026-02-05,1340.4
2026,1362,2026-02-23,1314.56
2026,1044,2026-02-05,337.21
2026,1336,2026-02-23,885.6
2026,1353,2026-02-23,954.85
2026,1014,2026-02-05,399.98
2026,1081,2026-02-06,377
2026,1200,2026-02-12,409.02
2026,1436,2026-02-25,575.37
2026,1197,2026-02-12,206.9
2026,1397,2026-02-24,120
2026,1450,2026-02-25,310
2026,1419,2026-02-24,120000
2026,1102,2026-02-06,1198.75
2026,1089,2026-02-06,551.25
2026,1967,2026-03-20,900.6
2026,1817,2026-03-13,7098
2026,2141,2026-03-30,902.59
2026,1975,2026-03-20,231.9
2026,1898,2026-03-18,1682.02
2026,1651,2026-03-03,2374.1
2026,1799,2026-03-13,204.47
2026,1797,2026-03-13,530
2026,1984,2026-03-20,91.2
2026,2024,2026-03-23,1272.73
2026,2002,2026-03-23,907.87
2026,1899,2026-03-18,1156.95
2026,2322,2026-04-08,933.65
2026,2262,2026-04-02,760.5
2026,2252,2026-04-02,329.97
2026,2391,2026-04-13,2275
