anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,482,2024-01-04,350353.85
2024,541,2024-01-04,4135925.94
2024,523,2024-01-04,2472913.91
2024,489,2024-01-04,461940.33
2024,78,2024-01-02,12104.85
2024,542,2024-01-04,1426851.45
2024,554,2024-01-04,299164.26
2024,517,2024-01-04,280843.09
2024,537,2024-01-04,49203.92
2024,111,2024-01-02,13645.4
2024,516,2024-01-04,586210.4
2024,550,2024-01-04,2.075013834E7
2024,511,2024-01-04,1791207.41
2024,183,2024-01-02,112647.83
2024,548,2024-01-04,102893.77
2024,558,2024-01-04,8931.72
2024,41,2024-01-02,3136445.74
2024,524,2024-01-04,620858.06
2024,483,2024-01-04,1161036
2024,484,2024-01-04,2909495.88
2024,547,2024-01-04,1267161.83
2024,525,2024-01-04,3472386.84
2024,38,2024-01-02,23527.46
2024,485,2024-01-04,1862246.49
2024,549,2024-01-04,265405.51
2024,513,2024-01-04,697867.48
2024,553,2024-01-04,1.993446008E7
2024,480,2024-01-04,61899.03
2024,117,2024-01-02,328962.83
2024,536,2024-01-04,31312.53
2024,486,2024-01-04,1.23975556E7
2024,559,2024-01-04,726653.67
2024,479,2024-01-04,262439.37
2024,555,2024-01-04,707318.83
2024,1510,2024-02-27,300000
2024,1726,2024-02-28,47416.52
2024,1736,2024-02-29,28730.7
2024,1971,2024-03-12,330315.52
2024,2563,2024-04-08,323628.05
2024,2463,2024-04-01,1455933.39
2024,2467,2024-04-02,1455993.39
2024,2778,2024-04-19,3579140.74
2024,2523,2024-04-04,154026.06
2024,3464,2024-05-16,6150000
2024,3395,2024-05-13,73228.5
2024,4217,2024-06-20,498721.84
2024,4418,2024-06-27,329500.16
2024,4267,2024-06-21,33000.95
2024,3883,2024-06-05,71186.92
2024,4334,2024-06-26,5199.78
2024,4929,2024-07-17,3585000
2024,5164,2024-07-31,129191.88
2024,4780,2024-07-09,948.62
2024,4928,2024-07-17,1670000
2024,5022,2024-07-23,403375.73
2024,4974,2024-07-19,1999999.98
2024,4628,2024-07-02,3585000
2024,5049,2024-07-24,5705000
2024,4816,2024-07-10,1399000
2024,4601,2024-07-02,1670000
2024,5053,2024-07-25,156606.19
2024,5643,2024-08-15,13567.58
2024,5689,2024-08-20,79939.08
2024,5829,2024-08-27,1707824.74
2024,5778,2024-08-23,881.41
2024,5803,2024-08-26,1702.71
2024,5974,2024-08-29,708930.74
2024,5325,2024-08-01,18726.13
2024,5610,2024-08-14,129191.88
2024,5373,2024-08-05,708930.74
2024,5664,2024-08-19,299250
2024,6123,2024-09-02,86850.62
2024,6559,2024-09-26,3409416.67
2024,6424,2024-09-17,102000
2024,6579,2024-09-27,2088771
2024,6132,2024-09-02,1948966.57
2024,7440,2024-10-31,724855.56
2024,7656,2024-11-13,2146911.53
2024,7450,2024-11-01,5705000
2024,7806,2024-11-21,302810.73
2024,7452,2024-11-01,1399000
2024,7980,2024-11-28,376485.46
2024,7451,2024-11-01,1998199.26
2024,7979,2024-11-28,592707.5
2024,7441,2024-11-01,247066.69
2024,7809,2024-11-21,159000
2024,7807,2024-11-21,140427.07
2024,8193,2024-12-02,39492.29
2024,8344,2024-12-06,211290.34
2024,8409,2024-12-12,91345.21
2024,8410,2024-12-12,21329.4
2024,8345,2024-12-06,1098219.64
2024,8343,2024-12-06,76504.94
2024,8228,2024-12-05,1800.72
