anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,462,2025-01-16,2301.4
2025,426,2025-01-15,898.2
2025,473,2025-01-16,363.9
2025,478,2025-01-16,849.5
2025,373,2025-01-14,1145
2025,474,2025-01-16,1669.3
2025,476,2025-01-16,1940
2025,726,2025-01-28,929
2025,479,2025-01-16,3448
2025,461,2025-01-16,114.7
2025,747,2025-01-28,500
2025,425,2025-01-15,654
2025,372,2025-01-14,1624.8
2025,633,2025-01-22,3000
2025,431,2025-01-15,308.02
2025,614,2025-01-22,18486.9
2025,717,2025-01-28,2800
2025,623,2025-01-22,4000
2025,469,2025-01-16,2238
2025,374,2025-01-14,3493.03
2025,465,2025-01-16,3498.3
2025,371,2025-01-14,4728.83
2025,470,2025-01-16,1135.15
2025,472,2025-01-16,549.5
2025,460,2025-01-16,10850
2025,421,2025-01-15,3767.82
2025,423,2025-01-15,23.69
2025,601,2025-01-22,1408.35
2025,1415,2025-02-27,174.5
2025,1379,2025-02-25,9308.8
2025,1370,2025-02-25,29580
2025,1410,2025-02-27,7858.98
2025,1485,2025-02-27,6159.82
2025,1213,2025-02-20,6242.03
2025,1369,2025-02-25,23250
2025,1368,2025-02-25,6000
2025,1015,2025-02-06,7180.82
2025,1865,2025-03-21,25920
2025,1933,2025-03-25,5970
2025,1936,2025-03-25,8400
2025,1723,2025-03-13,124.9
2025,1738,2025-03-13,45.1
2025,1942,2025-03-25,3150
2025,1617,2025-03-06,567
2025,1941,2025-03-25,266.58
2025,1940,2025-03-25,6000
2025,1938,2025-03-25,29580
2025,1864,2025-03-21,77760
2025,1931,2025-03-25,632.8
2025,1939,2025-03-25,13580.87
2025,1623,2025-03-06,15000.12
2025,1946,2025-03-25,3849
2025,1929,2025-03-25,3950
2025,2082,2025-03-28,3092.16
2025,1716,2025-03-13,1767.75
2025,1731,2025-03-13,224.81
2025,1709,2025-03-13,66150
2025,2502,2025-04-29,4116.09
2025,2441,2025-04-25,8118.1
2025,2213,2025-04-07,51.1
2025,2166,2025-04-04,3375.25
2025,2206,2025-04-07,1018.61
2025,2501,2025-04-29,13086.1
2025,2510,2025-04-29,60472
2025,2170,2025-04-04,419.98
2025,2503,2025-04-29,10000
2025,2581,2025-04-29,3092.15
2025,2511,2025-04-29,802.44
2025,2284,2025-04-11,855.05
2025,2509,2025-04-29,12026.17
2025,2221,2025-04-07,369.11
2025,2431,2025-04-25,610.75
2025,2677,2025-05-06,168
2025,3105,2025-05-29,3092.16
2025,2683,2025-05-06,599.97
2025,2701,2025-05-06,488.55
2025,3601,2025-06-26,4492.16
2025,3378,2025-06-18,226.85
2025,3354,2025-06-17,25920
2025,3209,2025-06-05,436.25
2025,3353,2025-06-17,77760
2025,3179,2025-06-04,10000
2025,4087,2025-07-29,263.04
2025,4067,2025-07-29,296.65
2025,4086,2025-07-29,164.96
2025,3961,2025-07-18,600
2025,4081,2025-07-29,472
2025,4155,2025-07-30,1400
2025,3972,2025-07-18,500
2025,4542,2025-08-21,3000
2025,4713,2025-08-28,6159.81
2025,4398,2025-08-13,365.28
2025,4935,2025-09-10,3969.5
2025,4936,2025-09-10,25920
2025,4943,2025-09-10,593.3
2025,4803,2025-09-03,1400
2025,5204,2025-09-29,3092.15
2025,6021,2025-10-31,435
2025,5740,2025-10-29,5891.3
2025,5742,2025-10-29,1000
2025,5663,2025-10-23,1553.05
2025,5789,2025-10-30,3500
2025,5501,2025-10-15,3000
2025,5957,2025-10-30,1374.3
2025,6343,2025-11-26,5633.72
2025,6417,2025-11-27,8968
2025,6092,2025-11-05,1920
2025,6393,2025-11-27,224.31
2025,6274,2025-11-19,8000
2025,6798,2025-12-18,3092.15
