anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1844,2025-02-27,364.51
2025,1843,2025-02-27,60517.27
2025,2354,2025-03-28,5965.1
2025,2419,2025-03-28,65268.84
2025,3147,2025-04-29,60149
2025,3842,2025-05-29,64258.9
2025,4517,2025-06-26,60803.58
2025,4443,2025-06-26,15872.8
2025,4396,2025-06-26,3127.75
2025,4479,2025-06-26,4135.74
2025,5141,2025-07-30,3726.43
2025,5320,2025-07-30,11332.05
2025,5288,2025-07-30,51973.36
2025,4783,2025-07-10,30873.4
2025,5936,2025-08-28,7871.49
2025,5889,2025-08-28,55491.19
2025,6569,2025-09-29,63197.79
2025,6573,2025-09-29,164.88
2025,7114,2025-10-30,64395.26
2025,7723,2025-11-27,67203.09
2025,8204,2025-12-18,61922.06
2025,8041,2025-12-18,3769.43
2025,8062,2025-12-18,2824.99
2025,7943,2025-12-10,30866.51
