anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,819,2025-01-30,70583.76
2025,1477,2025-02-27,60629.04
2025,1459,2025-02-27,1402.49
2025,1445,2025-02-27,13353.15
2025,2007,2025-03-28,4718.59
2025,2057,2025-03-28,59912.48
2025,2002,2025-03-28,1489.98
2025,2579,2025-04-29,58477.84
2025,3103,2025-05-29,59580.07
2025,3555,2025-06-26,3283.33
2025,3600,2025-06-26,60666.93
2025,4153,2025-07-30,64511.64
2025,4123,2025-07-30,9286.38
2025,3820,2025-07-10,27677.44
2025,4118,2025-07-30,686.14
2025,4712,2025-08-28,63336.04
2025,4647,2025-08-28,3694.98
2025,4704,2025-08-28,2888
2025,5205,2025-09-29,5628.7
2025,5210,2025-09-29,70763.58
2025,5177,2025-09-29,646.03
2025,5956,2025-10-30,73684.09
2025,5778,2025-10-30,1867.3
2025,5941,2025-10-30,746.54
2025,6420,2025-11-27,35731.53
2025,6358,2025-11-27,7680.17
2025,6405,2025-11-27,4497.24
2025,6462,2025-11-27,34125
2025,6623,2025-12-10,35459.29
2025,6764,2025-12-18,3710.94
2025,6795,2025-12-18,65202.81
2025,6785,2025-12-18,11643.21
