anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,949,2023-01-30,134.96
2023,954,2023-01-30,113167.67
2023,935,2023-01-30,1431.27
2023,1016,2023-01-30,1453.39
2023,480,2023-01-13,70000
2023,1469,2023-02-27,1115.85
2023,1522,2023-02-27,111398.15
2023,2134,2023-03-30,1249.72
2023,2153,2023-03-30,120109.43
2023,2101,2023-03-30,1350.13
2023,1606,2023-03-02,1078.35
2023,2151,2023-03-30,234.32
2023,2693,2023-04-27,111939.44
2023,3470,2023-05-31,132575.03
2023,3453,2023-05-31,910.19
2023,4245,2023-06-29,128285.23
2023,4191,2023-06-29,3263.03
2023,4444,2023-07-06,59783.05
2023,4873,2023-07-27,524.96
2023,4839,2023-07-27,1198.5
2023,4886,2023-07-27,921.79
2023,4888,2023-07-27,129509.33
2023,5541,2023-08-30,125901.92
2023,5523,2023-08-30,930.38
2023,6225,2023-09-28,2941.78
2023,6231,2023-09-28,122388.45
2023,6184,2023-09-28,1650.64
2023,6749,2023-10-27,123030.01
2023,6732,2023-10-27,788.26
2023,7437,2023-11-29,16307.82
2023,7686,2023-12-07,913.12
2023,7679,2023-12-07,8085.79
2023,7908,2023-12-21,4120.78
2023,8001,2023-12-22,16395.51
