anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,312,2023-01-03,17000
2023,557,2023-01-16,170.97
2023,130,2023-01-02,89000
2023,1384,2023-02-22,170.97
2023,1136,2023-02-06,683.88
2023,1242,2023-02-13,341.94
2023,1729,2023-03-10,170.97
2023,1793,2023-03-14,79.79
2023,1732,2023-03-10,170.97
2023,2807,2023-04-27,90000
2023,2777,2023-04-27,79.79
2023,2778,2023-04-27,170.97
2023,3113,2023-05-15,1538.73
2023,3396,2023-05-30,79.79
2023,3395,2023-05-30,79.79
2023,4070,2023-06-23,535.71
2023,4117,2023-06-26,104.13
2023,4071,2023-06-23,854.85
2023,5350,2023-08-17,79.79
2023,5328,2023-08-17,170.97
2023,5383,2023-08-21,170.97
2023,6153,2023-09-28,79.79
2023,6154,2023-09-28,170.97
2023,6423,2023-10-10,170.97
2023,6577,2023-10-19,39.9
2023,6424,2023-10-10,79.79
2023,7079,2023-11-13,79.79
2023,7361,2023-11-28,398.93
2023,7080,2023-11-13,170.97
2023,7601,2023-12-05,170.97
2023,7576,2023-12-01,170.97
2023,7883,2023-12-20,102.58
2023,7884,2023-12-20,102.58
