anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1017,2024-01-30,607734.27
2024,1022,2024-01-30,43495.37
2024,1016,2024-01-30,106625.27
2024,1069,2024-01-30,215974.49
2024,1032,2024-01-30,28692.07
2024,1082,2024-01-30,31859.05
2024,1594,2024-02-28,106625.27
2024,1680,2024-02-28,36573.38
2024,1673,2024-02-28,215974.49
2024,1600,2024-02-28,48209.7
2024,1595,2024-02-28,607734.27
2024,1658,2024-02-28,28692.07
2024,2388,2024-03-27,48209.7
2024,2385,2024-03-27,607734.27
2024,2329,2024-03-27,106625.27
2024,2344,2024-03-27,28692.07
2024,2351,2024-03-27,215974.49
2024,2363,2024-03-27,31859.05
2024,3140,2024-04-29,29666.78
2024,3134,2024-04-29,47737.21
2024,3144,2024-04-29,223311.75
2024,3094,2024-04-29,110247.72
2024,3151,2024-04-29,32941.41
2024,3005,2024-04-29,891.5
2024,3133,2024-04-29,617319.91
2024,3694,2024-05-29,4127.12
2024,3695,2024-05-29,7441.52
2024,3748,2024-05-29,559778.37
2024,3783,2024-05-29,47737.21
2024,3782,2024-05-29,23365.93
2024,3731,2024-05-29,95284.73
2024,3756,2024-05-29,194983.74
2024,3805,2024-05-29,32941.41
2024,3693,2024-05-29,4870
2024,3865,2024-06-04,2039.09
2024,3866,2024-06-04,183.52
2024,3890,2024-06-05,811.17
2024,3974,2024-06-10,1880.68
2024,3867,2024-06-04,14035.35
2024,4114,2024-06-17,2095.44
2024,3891,2024-06-05,431.05
2024,4270,2024-06-24,6075.76
2024,4510,2024-06-27,220027.66
2024,3892,2024-06-05,1470.89
2024,4500,2024-06-27,47737.21
2024,4496,2024-06-27,28850.5
2024,4497,2024-06-27,576726.17
2024,4554,2024-06-27,104357.55
2024,3868,2024-06-04,9506.28
2024,4548,2024-06-27,32941.41
2024,4218,2024-06-20,1581.24
2024,5229,2024-07-31,223311.75
2024,4682,2024-07-03,294417.78
2024,4602,2024-07-02,1665.9
2024,4946,2024-07-18,5089.55
2024,4949,2024-07-18,459.68
2024,4855,2024-07-15,5370.01
2024,4951,2024-07-18,2544.78
2024,4947,2024-07-18,1858.62
2024,4944,2024-07-18,1858.62
2024,4655,2024-07-03,14394.38
2024,4856,2024-07-15,5370.01
2024,4656,2024-07-03,109981.48
2024,5261,2024-07-31,599295.08
2024,5255,2024-07-31,47737.21
2024,4907,2024-07-17,1818.89
2024,4954,2024-07-18,229.84
2024,4948,2024-07-18,1465.2
2024,4600,2024-07-02,1665.9
2024,5217,2024-07-31,27479.36
2024,4641,2024-07-03,12109.35
2024,4642,2024-07-03,12109.35
2024,4668,2024-07-03,16470.72
2024,4943,2024-07-18,459.68
2024,4950,2024-07-18,5089.55
2024,4660,2024-07-03,53011.73
2024,4681,2024-07-03,23665.51
2024,4945,2024-07-18,1465.2
2024,5200,2024-07-31,106880.41
2024,5233,2024-07-31,32941.41
2024,4909,2024-07-17,909.45
2024,4857,2024-07-15,2685.01
2024,5100,2024-07-30,135.48
2024,4953,2024-07-18,929.31
2024,4952,2024-07-18,732.6
2024,4908,2024-07-17,1818.89
2024,5911,2024-08-29,286.39
2024,6073,2024-08-29,32953.97
2024,5390,2024-08-06,18024.83
2024,6061,2024-08-29,27079.44
2024,5454,2024-08-08,71.35
2024,5497,2024-08-08,2740.18
2024,6087,2024-08-29,47988.28
2024,5391,2024-08-06,18024.83
2024,6066,2024-08-29,229838.02
2024,5511,2024-08-08,761.02
2024,5478,2024-08-08,1700.69
2024,6020,2024-08-29,106932.91
2024,6050,2024-08-29,618978.85
2024,5392,2024-08-06,9012.41
2024,5389,2024-08-06,18024.83
2024,5486,2024-08-08,6526.27
2024,5480,2024-08-08,201.07
2024,6665,2024-09-27,229838.02
2024,6412,2024-09-17,1002.3
2024,6411,2024-09-17,315.7
2024,6717,2024-09-27,47988.28
2024,6745,2024-09-27,27405.58
2024,6738,2024-09-27,107007.53
2024,6413,2024-09-17,1035.47
2024,6586,2024-09-27,79.98
2024,6716,2024-09-27,618978.85
2024,6409,2024-09-17,1002.3
2024,6415,2024-09-17,1035.47
2024,6684,2024-09-27,32953.97
2024,6410,2024-09-17,315.7
2024,6414,2024-09-17,326.14
2024,6416,2024-09-17,326.14
2024,7392,2024-10-30,27405.58
2024,7364,2024-10-30,47988.28
2024,7405,2024-10-30,107007.53
2024,7421,2024-10-30,229838.02
2024,7363,2024-10-30,618587.03
2024,7334,2024-10-30,32953.97
2024,8119,2024-11-28,229838.02
2024,8083,2024-11-28,618587.03
2024,8110,2024-11-28,27405.58
2024,8085,2024-11-28,47988.28
2024,8097,2024-11-28,107007.53
2024,8060,2024-11-28,32953.97
2024,8266,2024-12-05,108420.57
2024,8244,2024-12-05,294878.88
2024,8624,2024-12-19,32953.97
2024,8285,2024-12-05,7432.4
2024,8688,2024-12-19,27405.58
2024,8280,2024-12-05,15684.45
2024,8261,2024-12-05,49921.48
2024,8245,2024-12-05,447.59
2024,8699,2024-12-19,229838.02
2024,8667,2024-12-19,618587.03
2024,8259,2024-12-05,42636.87
2024,8677,2024-12-19,107007.53
2024,8642,2024-12-19,47988.28
2024,8262,2024-12-05,35404.19
2024,8279,2024-12-05,35499.09
