anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,15,2023-01-02,8264
2023,27,2023-01-02,25000
2023,125,2023-01-03,20000
2023,100,2023-01-02,13363.59
2023,93,2023-01-02,28554.63
2023,81,2023-01-02,11000
2023,63,2023-01-02,5000
2023,915,2023-02-23,44789.08
2023,773,2023-02-10,10000
2023,1454,2023-04-04,500
2023,1450,2023-04-04,500
2023,2093,2023-05-25,100000
2023,1955,2023-05-15,500
2023,1968,2023-05-15,40090.77
2023,2038,2023-05-19,5105.2
2023,2090,2023-05-24,30000
2023,2234,2023-06-01,39.9
2023,2387,2023-06-16,1000
2023,2599,2023-06-30,36000
2023,2371,2023-06-16,3690.2
2023,2835,2023-07-18,15000
2023,2763,2023-07-13,602.55
2023,2756,2023-07-13,3646.79
2023,2768,2023-07-13,100
2023,2757,2023-07-13,687
2023,2759,2023-07-13,7395.35
2023,3007,2023-07-31,10000
2023,3252,2023-08-21,10090
2023,3050,2023-08-03,39.9
2023,3574,2023-09-19,3017
2023,3449,2023-09-06,2356
2023,3820,2023-09-29,2917.89
2023,3566,2023-09-19,5000
2023,3702,2023-09-26,1377.74
2023,4223,2023-10-31,3000
2023,4221,2023-10-31,8716
2023,4229,2023-10-31,2500
2023,4503,2023-11-23,3000
2023,4514,2023-11-23,2000
2023,4576,2023-11-28,8266.44
2023,4510,2023-11-23,1227.5
2023,4739,2023-12-05,314.1
2023,4743,2023-12-05,8560
