anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,599,2024-01-05,451250
2024,538,2024-01-04,267995
2024,527,2024-01-04,497504.36
2024,1109,2024-01-31,59375
2024,552,2024-01-04,669063.03
2024,507,2024-01-04,401596
2024,1500,2024-02-26,47547.5
2024,1293,2024-02-13,99.64
2024,1427,2024-02-20,6820.43
2024,1165,2024-02-06,72050
2024,1461,2024-02-22,104850
2024,1768,2024-03-01,155948
2024,2174,2024-03-25,99.64
2024,2078,2024-03-19,104850
2024,1972,2024-03-12,1340625
2024,1948,2024-03-11,61600
2024,2504,2024-04-03,426800
2024,2503,2024-04-03,173592.5
2024,6170,2024-09-04,99.64
2024,6346,2024-09-13,99.64
2024,6347,2024-09-13,99.64
2024,6169,2024-09-04,99.64
2024,6987,2024-10-15,30084.28
2024,8018,2024-11-28,58021.98
2024,7539,2024-11-06,375000
2024,8180,2024-12-02,99.64
