anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,37,2023-01-02,5500
2023,167,2023-01-02,600000
2023,190,2023-01-02,3960000
2023,95,2023-01-02,480000
2023,181,2023-01-02,7000000
2023,165,2023-01-02,30000
2023,90,2023-01-02,900000
2023,87,2023-01-02,370000
2023,92,2023-01-02,9000
2023,758,2023-01-24,123071.84
2023,1566,2023-02-28,4978.46
2023,1589,2023-03-01,113.93
2023,1588,2023-03-01,5616.24
2023,1582,2023-03-01,4412.99
2023,2042,2023-03-28,1495966.72
2023,2041,2023-03-28,20712.48
2023,2281,2023-04-04,5188.13
2023,2313,2023-04-06,958762.5
2023,2496,2023-04-17,113.93
2023,2503,2023-04-17,4412.99
2023,2505,2023-04-17,5616.24
2023,3547,2023-05-31,5950.78
2023,2841,2023-05-02,5434.18
2023,4177,2023-06-29,6373.89
2023,3563,2023-06-01,3349.6
2023,4985,2023-07-31,6755.14
2023,5248,2023-08-11,260000
2023,5609,2023-08-30,7103.88
2023,5249,2023-08-11,5000
2023,5275,2023-08-14,27641.66
2023,5183,2023-08-09,75542.91
2023,6255,2023-09-28,7431.29
2023,5911,2023-09-15,26806.23
2023,5912,2023-09-15,160000
2023,5913,2023-09-15,250000
2023,5892,2023-09-15,170000
2023,5976,2023-09-21,1532632.5
2023,5948,2023-09-19,1346847.42
2023,5653,2023-09-01,190827.17
2023,5947,2023-09-19,14793.41
2023,6830,2023-10-30,7722.11
2023,6548,2023-10-18,77906.57
2023,6418,2023-10-09,300000
2023,6507,2023-10-13,3000
2023,7143,2023-11-17,25000
2023,7154,2023-11-17,5000
2023,7365,2023-11-28,8000.72
2023,7569,2023-12-01,79068.55
2023,7762,2023-12-14,482564.64
2023,8062,2023-12-22,8246.63
2023,8092,2023-12-29,624.04
2023,8128,2023-12-29,190827.17
2023,8129,2023-12-29,164993.96
2023,8127,2023-12-29,27641.66
