anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,878,2023-01-30,1203
2023,371,2023-01-05,161000
2023,113,2023-01-02,38682
2023,50,2023-01-02,21000
2023,182,2023-01-02,5000
2023,1386,2023-02-22,683.88
2023,1819,2023-03-15,8360.3
2023,2819,2023-04-28,154728
2023,2467,2023-04-14,170.97
2023,3222,2023-05-22,40250
2023,3241,2023-05-22,170.97
2023,3578,2023-06-02,170.97
2023,4303,2023-06-29,234.78
2023,3549,2023-06-01,1203
2023,3770,2023-06-12,5000
2023,6156,2023-09-28,79.79
2023,6031,2023-09-22,679.36
2023,6030,2023-09-22,6400.86
2023,6155,2023-09-28,170.97
