anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,868,2025-01-29,177117
2025,757,2025-01-21,19617.05
2025,303,2025-01-02,112392.71
2025,758,2025-01-21,2311.17
2025,102,2025-01-02,20015.74
2025,759,2025-01-21,377.72
2025,748,2025-01-21,14111.4
2025,282,2025-01-02,50000
2025,872,2025-01-29,62000
2025,754,2025-01-21,60785.51
2025,836,2025-01-27,887.08
2025,305,2025-01-02,16362.46
2025,84,2025-01-02,2500000
2025,756,2025-01-21,34049.33
2025,755,2025-01-21,7527
2025,746,2025-01-21,6013.6
2025,752,2025-01-21,12599.88
2025,1128,2025-01-31,30131.67
2025,753,2025-01-21,4605.6
2025,1126,2025-01-31,16342.56
2025,751,2025-01-21,4170.75
2025,395,2025-01-02,121834.43
2025,744,2025-01-21,22677.14
2025,290,2025-01-02,27300
2025,750,2025-01-21,8794.03
2025,749,2025-01-21,3541.8
2025,1127,2025-01-31,5011.2
2025,747,2025-01-21,1541.7
2025,1627,2025-02-27,24895.21
2025,1320,2025-02-13,2439.75
2025,1405,2025-02-14,390
2025,1323,2025-02-13,594
2025,1644,2025-02-27,19320.65
2025,1195,2025-02-05,8392.07
2025,1432,2025-02-17,149.37
2025,1341,2025-02-13,8420.58
2025,1399,2025-02-14,252.22
2025,1378,2025-02-14,896.22
2025,1543,2025-02-20,187500
2025,1414,2025-02-14,235.78
2025,1575,2025-02-24,3286.14
2025,1160,2025-02-04,82959
2025,1404,2025-02-14,259.55
2025,1650,2025-02-27,35000
2025,1377,2025-02-14,597.48
2025,1645,2025-02-27,2060
2025,1639,2025-02-27,550.03
2025,1479,2025-02-19,13031.84
2025,1571,2025-02-24,183.12
2025,1494,2025-02-20,132750
2025,1413,2025-02-14,2006.66
2025,1324,2025-02-13,52175.76
2025,1638,2025-02-27,4598.4
2025,1397,2025-02-14,225.04
2025,1661,2025-02-27,13592.67
2025,1630,2025-02-27,10555.11
2025,1628,2025-02-27,10089.1
2025,1478,2025-02-19,54665.02
2025,1633,2025-02-27,5073.75
2025,1634,2025-02-27,8147.95
2025,1635,2025-02-27,2784
2025,1322,2025-02-13,7446.24
2025,1319,2025-02-13,12752.78
2025,1629,2025-02-27,32226.31
2025,1342,2025-02-13,4534.17
2025,1632,2025-02-27,23197.44
2025,1602,2025-02-25,142.69
2025,1491,2025-02-20,3286.14
2025,1318,2025-02-13,69574.96
2025,1406,2025-02-14,11141.98
2025,1409,2025-02-14,6032.49
2025,1325,2025-02-13,6254.3
2025,1410,2025-02-14,894.4
2025,1701,2025-02-27,149.37
2025,1321,2025-02-13,13828.72
2025,2208,2025-03-20,23879.28
2025,2371,2025-03-28,1877.47
2025,2515,2025-03-28,52329.8
2025,2203,2025-03-20,3861.36
2025,2373,2025-03-28,3163.53
2025,2207,2025-03-20,7194.2
2025,2372,2025-03-28,215.44
2025,2204,2025-03-20,20232.63
2025,2374,2025-03-28,615.18
2025,2205,2025-03-20,3204.71
2025,2200,2025-03-20,39786.94
2025,2199,2025-03-20,2937.2
2025,2198,2025-03-20,32959.2
2025,2202,2025-03-20,19943.63
2025,2201,2025-03-20,7653.62
2025,2206,2025-03-20,33933.69
2025,2145,2025-03-14,11610
2025,2209,2025-03-20,3118.86
2025,2148,2025-03-14,159300
2025,2816,2025-04-16,2891.35
2025,2983,2025-04-28,279.66
2025,2979,2025-04-28,4700
2025,2932,2025-04-24,44024.99
2025,2976,2025-04-28,2340
2025,2921,2025-04-24,1884.65
2025,2805,2025-04-16,5792
2025,2561,2025-04-02,18526.1
2025,2927,2025-04-24,8133.15
2025,2563,2025-04-02,12682.48
2025,2828,2025-04-16,431.6
2025,2980,2025-04-28,43154
2025,2800,2025-04-16,10933.92
2025,2832,2025-04-16,106.6
2025,2559,2025-04-02,2029
2025,2806,2025-04-16,30604.15
2025,2850,2025-04-17,1188.18
2025,2546,2025-04-01,11826
2025,2817,2025-04-16,888.79
2025,2810,2025-04-16,970.32
2025,2560,2025-04-02,24571.6
2025,2831,2025-04-16,1424.2
2025,2925,2025-04-24,9546.34
2025,2558,2025-04-02,5137.95
2025,2827,2025-04-16,1925.43
2025,2815,2025-04-16,2232.58
2025,2798,2025-04-16,18894.15
2025,2920,2025-04-24,4528.21
2025,2809,2025-04-16,867.6
2025,3064,2025-04-29,149.37
2025,2564,2025-04-02,2214.4
2025,2825,2025-04-16,3981.91
2025,2849,2025-04-17,961.52
2025,2919,2025-04-24,4331.17
2025,2928,2025-04-24,522.74
2025,2799,2025-04-16,3686.72
2025,2807,2025-04-16,7178.63
2025,2975,2025-04-28,9120
2025,2773,2025-04-15,395200
2025,2811,2025-04-16,885
2025,2824,2025-04-16,22555.24
2025,2562,2025-04-02,6692.4
2025,2924,2025-04-24,327.82
2025,2808,2025-04-16,5197.96
2025,2835,2025-04-16,7218.63
2025,2926,2025-04-24,886
2025,2814,2025-04-16,6231.83
2025,2933,2025-04-24,11536
2025,2930,2025-04-24,26012
2025,2853,2025-04-17,12740.38
2025,2982,2025-04-28,532.67
2025,2923,2025-04-24,2443.11
2025,2977,2025-04-28,1740
2025,2929,2025-04-24,39409.5
2025,2974,2025-04-28,530
2025,2565,2025-04-02,1039.5
2025,2922,2025-04-24,1404.37
2025,2845,2025-04-16,12139.32
2025,2978,2025-04-28,3460
2025,2931,2025-04-24,15416
2025,2854,2025-04-17,3234.36
2025,3627,2025-05-27,430.64
2025,3372,2025-05-12,2838.03
2025,3252,2025-05-05,2775.31
2025,3228,2025-05-05,15673
2025,3377,2025-05-13,3890.42
2025,3231,2025-05-05,1069.36
2025,3219,2025-05-05,67997.03
2025,3217,2025-05-05,19102.62
2025,3223,2025-05-05,20722.23
2025,3255,2025-05-05,20309.04
2025,3251,2025-05-05,247.57
2025,3229,2025-05-05,1674.6
2025,3625,2025-05-27,923.73
2025,3491,2025-05-21,24081.19
2025,3493,2025-05-21,6077.38
2025,3218,2025-05-05,14796.31
2025,3502,2025-05-21,850
2025,3220,2025-05-05,21518.3
2025,3224,2025-05-05,17022.28
2025,3256,2025-05-05,1684.8
2025,3225,2025-05-05,4268.57
2025,3253,2025-05-05,265.43
2025,3282,2025-05-07,366.24
2025,3623,2025-05-27,511.62
2025,3222,2025-05-05,36700.18
2025,3492,2025-05-21,28998.92
2025,3248,2025-05-05,6448.92
2025,3237,2025-05-05,352.72
2025,3624,2025-05-27,339.72
2025,3238,2025-05-05,224.3
2025,3230,2025-05-05,2009.77
2025,3486,2025-05-20,850
2025,3232,2025-05-05,1009.92
