anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,46,2025-01-02,958242.99
2025,36,2025-01-02,154424
2025,48,2025-01-02,26361.95
2025,49,2025-01-02,168476.44
2025,47,2025-01-02,61757.41
2025,44,2025-01-02,526431
2025,45,2025-01-02,520000
2025,198,2025-02-19,787854.06
2025,197,2025-02-18,64500
2025,199,2025-02-19,7282.14
2025,200,2025-02-19,290734.4
2025,289,2025-04-10,718000
2025,374,2025-06-04,400400
2025,475,2025-07-23,73296
2025,579,2025-09-11,95000.15
2025,692,2025-11-03,175000
2025,693,2025-11-03,100000
2025,694,2025-11-03,80000
