anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,547,2023-01-13,9000
2023,209,2023-01-02,96.62
2023,54,2023-01-02,14000
2023,270,2023-01-02,96.62
2023,31,2023-01-02,8450
2023,1892,2023-03-17,2613.9
2023,1936,2023-03-21,10000
2023,2536,2023-04-18,10000
2023,3279,2023-05-23,3107.83
2023,3558,2023-06-01,15000
2023,3774,2023-06-13,2356.42
2023,4615,2023-07-12,6097
2023,4616,2023-07-12,5597.4
2023,5229,2023-08-11,29523
2023,5752,2023-09-11,1290
2023,6261,2023-09-29,8312.5
2023,5737,2023-09-08,19814.4
2023,6833,2023-10-31,676
2023,6666,2023-10-25,3520
2023,6604,2023-10-20,96.62
2023,7321,2023-11-27,37693.8
