anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1033,2024-01-30,30464.91
2024,940,2024-01-30,183.4
2024,1056,2024-01-30,182115.95
2024,935,2024-01-30,9801.98
2024,888,2024-01-30,8188.13
2024,1007,2024-01-30,45364.08
2024,1588,2024-02-28,5936.5
2024,1623,2024-02-28,231237.31
2024,1550,2024-02-28,8925.95
2024,1659,2024-02-28,121527
2024,2404,2024-03-27,121527
2024,2229,2024-03-27,2445.4
2024,2383,2024-03-27,221647.72
2024,2401,2024-03-27,8753.84
2024,3162,2024-04-29,231826.5
2024,3182,2024-04-29,7336.2
2024,2995,2024-04-29,19889.8
2024,3171,2024-04-29,133310.16
2024,3742,2024-05-29,255164.74
2024,3689,2024-05-29,3586.79
2024,3794,2024-05-29,17677.11
2024,3796,2024-05-29,133310.16
2024,4541,2024-06-27,133310.16
2024,4431,2024-06-27,14511.06
2024,4540,2024-06-27,9399.46
2024,4487,2024-06-27,229092.43
2024,4686,2024-07-03,102765.99
2024,5156,2024-07-30,17227.03
2024,5271,2024-07-31,133310.16
2024,4858,2024-07-15,1218.52
2024,4879,2024-07-15,5714.97
2024,5277,2024-07-31,16741.59
2024,5253,2024-07-31,221573.77
2024,5949,2024-08-29,24043.41
2024,5505,2024-08-08,7500.8
2024,6004,2024-08-29,12669.9
2024,5914,2024-08-29,2084.36
2024,5999,2024-08-29,125100
2024,5524,2024-08-08,1163.42
2024,6083,2024-08-29,234372.57
2024,6725,2024-09-27,125100
2024,6599,2024-09-27,8301.27
2024,6694,2024-09-27,245579.59
2024,6702,2024-09-27,2037.24
2024,7250,2024-10-30,6772.62
2024,7359,2024-10-30,125100
2024,7370,2024-10-30,16131.45
2024,7362,2024-10-30,242229.72
2024,7983,2024-11-28,3591.6
2024,8078,2024-11-28,220250.39
2024,8041,2024-11-28,133200
2024,8128,2024-11-28,27706.04
2024,7995,2024-11-28,3591.6
2024,8656,2024-12-19,7595.63
2024,8248,2024-12-05,134429.48
2024,8671,2024-12-19,131833.62
2024,8566,2024-12-19,16481.03
2024,8666,2024-12-19,234301.18
2024,8647,2024-12-19,17905.57
