anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,514,2025-01-08,39.44
2025,230,2025-01-02,150000
2025,46,2025-01-02,1300000
2025,375,2025-01-02,1000000
2025,30,2025-01-02,100000
2025,265,2025-01-02,17003.52
2025,7,2025-01-02,10000000
2025,264,2025-01-02,196044.2
2025,1220,2025-02-07,1650
2025,2137,2025-03-14,550
2025,2138,2025-03-14,1100
2025,2617,2025-04-04,14337.53
2025,3503,2025-05-21,399467.52
2025,3975,2025-06-09,1389.11
2025,4428,2025-06-26,150000
2025,5017,2025-07-22,39.9
2025,5020,2025-07-22,39.9
2025,5007,2025-07-22,39.9
2025,4707,2025-07-07,8090.25
2025,5019,2025-07-22,39.9
2025,4697,2025-07-07,20772.63
2025,5021,2025-07-22,39.9
2025,6373,2025-09-22,120
2025,6081,2025-09-04,20000
2025,6372,2025-09-22,120
2025,6374,2025-09-22,120
2025,7408,2025-11-12,2000
2025,7521,2025-11-21,699
2025,7450,2025-11-13,66621.4
2025,7838,2025-12-05,812412.05
2025,8281,2025-12-23,131498.63
