anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,981,2024-01-30,825717.86
2024,994,2024-01-30,1736650.69
2024,884,2024-01-30,5096.41
2024,1693,2024-02-28,23429.19
2024,1699,2024-02-28,8736.29
2024,1569,2024-02-28,2630722.88
2024,1581,2024-02-28,6082.75
2024,2271,2024-03-27,2865.2
2024,2265,2024-03-27,11038.07
2024,2314,2024-03-27,8659.56
2024,2306,2024-03-27,2905961.01
2024,1831,2024-03-05,434.43
2024,3079,2024-04-29,2977754.61
2024,3035,2024-04-29,2863.58
2024,3042,2024-04-29,34073.33
2024,3631,2024-05-29,1000
2024,3707,2024-05-29,3012591.85
2024,3348,2024-05-09,3287.03
2024,3632,2024-05-29,36596.02
2024,3635,2024-05-29,24888.29
2024,3354,2024-05-09,649.83
2024,3469,2024-05-17,6934.46
2024,4451,2024-06-27,2981507.97
2024,4383,2024-06-27,6802.21
2024,4386,2024-06-27,40111.97
2024,5297,2024-07-31,5088.91
2024,5304,2024-07-31,4517.8
2024,4647,2024-07-03,1404167.41
2024,5300,2024-07-31,11546.52
2024,5193,2024-07-31,2972060.83
2024,5939,2024-08-29,5839.15
2024,5985,2024-08-29,3009070.41
2024,5433,2024-08-08,6606.54
2024,5934,2024-08-29,319.95
2024,6614,2024-09-27,8642.47
2024,6609,2024-09-27,1247.18
2024,6245,2024-09-09,801.18
2024,6646,2024-09-27,2966632.36
2024,7266,2024-10-30,37044.74
2024,7312,2024-10-30,2963509.59
2024,7273,2024-10-30,1654.77
2024,7271,2024-10-30,24579.92
2024,8009,2024-11-28,2955396.27
2024,8725,2024-12-19,193262.24
2024,8592,2024-12-19,909144.87
2024,8733,2024-12-19,71383.07
2024,8234,2024-12-05,1421.67
2024,8550,2024-12-19,748621.11
2024,8240,2024-12-05,1239243.53
2024,8605,2024-12-19,2487599.15
2024,8441,2024-12-16,16051.66
2024,8607,2024-12-19,1222.29
2024,8729,2024-12-19,808086.64
