anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,824,2024-01-25,1758.95
2024,817,2024-01-25,98547.36
2024,822,2024-01-25,66382.32
2024,818,2024-01-25,54766.83
2024,31,2024-01-02,1327230
2024,823,2024-01-25,16072.81
2024,819,2024-01-25,5288.56
2024,821,2024-01-25,1551.93
2024,820,2024-01-25,5847.22
2024,825,2024-01-25,871.2
2024,1188,2024-02-07,4940.52
2024,1195,2024-02-07,60970.43
2024,1175,2024-02-07,54566.53
2024,1190,2024-02-07,65557.01
2024,1205,2024-02-07,2303.84
2024,1194,2024-02-07,278318.31
2024,1204,2024-02-07,25613.28
2024,1274,2024-02-12,538564.68
2024,1209,2024-02-07,2098.8
2024,1177,2024-02-07,225366.44
2024,1189,2024-02-07,91229.9
2024,1176,2024-02-07,5854.42
2024,1178,2024-02-07,517054.2
2024,1193,2024-02-07,79578.83
2024,1191,2024-02-07,61011.5
2024,1192,2024-02-07,318155.12
2024,2006,2024-03-13,1006629.73
2024,2004,2024-03-13,3000000
2024,2005,2024-03-13,1600000
2024,2013,2024-03-13,797538.12
2024,2097,2024-03-20,4750308.03
2024,3205,2024-04-30,33343.35
2024,3207,2024-04-30,243.66
2024,3208,2024-04-30,109759.57
2024,3209,2024-04-30,113775.62
2024,3206,2024-04-30,3125
2024,3823,2024-05-31,29640.86
2024,3821,2024-05-31,4230.52
2024,3241,2024-05-03,2562.66
2024,3240,2024-05-03,37451.34
2024,3822,2024-05-31,136304.77
2024,3824,2024-05-31,53925.21
2024,3819,2024-05-31,625
2024,3243,2024-05-03,59505.1
2024,3818,2024-05-31,79931.72
2024,3242,2024-05-03,133939.18
2024,3820,2024-05-31,37572.65
2024,3239,2024-05-03,68903.98
2024,4106,2024-06-17,8447.46
2024,4105,2024-06-17,15522.86
2024,4810,2024-07-10,141562.77
2024,5165,2024-07-31,111719.71
2024,4807,2024-07-10,37803.45
2024,4812,2024-07-10,99917.42
2024,4811,2024-07-10,63314.25
2024,4808,2024-07-10,1330.46
2024,4809,2024-07-10,69895.49
2024,6112,2024-08-30,122914.59
2024,6114,2024-08-30,4770.5
2024,6117,2024-08-30,72411.46
2024,6111,2024-08-30,248105.35
2024,5348,2024-08-02,6250
2024,6113,2024-08-30,5600.53
2024,5349,2024-08-02,115076.31
2024,6115,2024-08-30,49331.68
2024,5687,2024-08-20,185244.77
2024,5350,2024-08-02,1506.2
2024,5354,2024-08-02,61925.93
2024,6116,2024-08-30,15625
2024,5355,2024-08-02,72600.34
2024,5353,2024-08-02,19297.46
2024,6274,2024-09-11,74903.2
2024,6518,2024-09-23,575648.43
2024,7029,2024-10-18,173647.89
2024,7034,2024-10-18,103969.49
2024,7032,2024-10-18,849.7
2024,7033,2024-10-18,43649.74
2024,7030,2024-10-18,41142.18
2024,7200,2024-10-29,19998.88
2024,7031,2024-10-18,11884.47
2024,7497,2024-11-04,938.4
2024,7496,2024-11-04,19984.16
2024,7495,2024-11-04,22227.16
2024,7558,2024-11-07,25362.8
2024,7498,2024-11-04,8420.36
2024,7499,2024-11-04,58860.39
2024,7500,2024-11-04,131675.86
2024,8427,2024-12-13,155137
